id,unique_id,source,title,description,rationale,audit,remediation,profile_applicability,impact,references,section,assessment,default_value,additional_information,final_approach,final_confidence,program_name,justification,automation_summary,manual_summary,three_ai_consensus,decision_timestamp,final_approach,final_confidence,program_name,justification,automation_summary,manual_summary,three_ai_consensus,decision_timestamp
1.1.1,cis-k8s-k8s-v1111-1-1-1,CIS KUBERNETES BENCHMARK V1.11.1 PDF,Ensure that the API server pod specification file permissions are set to 600 or more restrictive,Ensure that the API server pod specification file has permissions of 600 or more restrictive.,The API server pod specification file controls various parameters that set the behavior of the API server. You should restrict its file permissions to maintain the integrity of the file. The file should be writable by only the administrators on the system. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %a /etc/kubernetes/manifests/kube-apiserver.yaml Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 /etc/kubernetes/manifests/kube-apiserver.yaml Default Value: By default, the kube-apiserver.yaml file has permissions of 640. References: 1. https://kubernetes.io/docs/admin/kube-apiserver/",•  Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-apiserver/,1 Section,,,,Manual,HIGH,,"The task involves checking file permissions on the host operating system, which cannot be directly performed using Kubernetes APIs or `kubectl` as it involves the file system of the underlying node. Both AI opinions agree that this is a manual task, and while automation through configuration management tools like Ansible or Puppet is possible, it is outside the scope of Kubernetes-native automation.",,"1. SSH into the Control Plane node where the API server pod specification file is located. 2. Run the command: `stat -c %a /etc/kubernetes/manifests/kube-apiserver.yaml`. 3. Verify that the output shows the permissions set to `600` or more restrictive (e.g., `400`). 4. If the permissions are not set to `600` or more restrictive, it is a compliance failure. Remediate by running `chmod 600 /etc/kubernetes/manifests/kube-apiserver.yaml` to set the appropriate permissions.",Yes,2025-11-02T17:58:25.780362,Manual,HIGH,,"The task involves checking file permissions on the host operating system, which cannot be directly performed using Kubernetes APIs or `kubectl` as it involves the file system of the underlying node. Both AI opinions agree that this is a manual task, and while automation through configuration management tools like Ansible or Puppet is possible, it is outside the scope of Kubernetes-native automation.",,"1. SSH into the Control Plane node where the API server pod specification file is located. 2. Run the command: `stat -c %a /etc/kubernetes/manifests/kube-apiserver.yaml`. 3. Verify that the output shows the permissions set to `600` or more restrictive (e.g., `400`). 4. If the permissions are not set to `600` or more restrictive, it is a compliance failure. Remediate by running `chmod 600 /etc/kubernetes/manifests/kube-apiserver.yaml` to set the appropriate permissions.",Yes,2025-11-02T17:58:25.780362
1.1.2,cis-k8s-k8s-v1111-1-1-2,CIS KUBERNETES BENCHMARK V1.11.1 PDF,Ensure that the API server pod specification file ownership is set to root:root,Ensure that the API server pod specification file ownership is set to root:root.,The API server pod specification file controls various parameters that set the behavior of the API server. You should set its file ownership to maintain the integrity of the file. The file should be owned by root:root. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G /etc/kubernetes/manifests/kube-apiserver.yaml Verify that the ownership is set to root:root.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root /etc/kubernetes/manifests/kube-apiserver.yaml Default Value: By default, the kube-apiserver.yaml file ownership is set to root:root. References: 1. https://kubernetes.io/docs/admin/kube-apiserver/",•  Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-apiserver/,1 Section,,,,Manual,HIGH,,"The task involves verifying and potentially modifying the file ownership of the API server pod specification file on the host operating system, which is outside the scope of Kubernetes APIs or `kubectl` commands. This requires direct access to the file system on the control plane node, making it a manual process. Both AI opinions acknowledge the necessity of manual intervention due to the lack of Kubernetes-native tools for this specific check.",,"1. SSH into the Control Plane node where the Kubernetes API server is running. 2. Execute the command: `stat -c %U:%G /etc/kubernetes/manifests/kube-apiserver.yaml`. 3. Verify that the output is `root:root` to ensure correct ownership. 4. If the ownership is incorrect, correct it by running: `chown root:root /etc/kubernetes/manifests/kube-apiserver.yaml`.",Yes,2025-11-02T18:28:41.996507,Manual,HIGH,,"The task involves verifying and potentially modifying the file ownership of the API server pod specification file on the host operating system, which is outside the scope of Kubernetes APIs or `kubectl` commands. This requires direct access to the file system on the control plane node, making it a manual process. Both AI opinions acknowledge the necessity of manual intervention due to the lack of Kubernetes-native tools for this specific check.",,"1. SSH into the Control Plane node where the Kubernetes API server is running. 2. Execute the command: `stat -c %U:%G /etc/kubernetes/manifests/kube-apiserver.yaml`. 3. Verify that the output is `root:root` to ensure correct ownership. 4. If the ownership is incorrect, correct it by running: `chown root:root /etc/kubernetes/manifests/kube-apiserver.yaml`.",Yes,2025-11-02T18:28:41.996507
1.1.3,cis-k8s-k8s-v1111-1-1-3,CIS KUBERNETES BENCHMARK V1.11.1 PDF,Ensure that the controller manager pod specification file permissions are set to 600 or more restrictive,Ensure that the controller manager pod specification file has permissions of 600 or more restrictive.,The controller manager pod specification file controls various parameters that set the behavior of the Controller Manager on the master node. You should restrict its file permissions to maintain the integrity of the file. The file should be writable by only the administrators on the system. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %a /etc/kubernetes/manifests/kube-controller-manager.yaml Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 /etc/kubernetes/manifests/kube-controller-manager.yaml Default Value: By default, the kube-controller-manager.yaml file has permissions of 640. References: 1. https://kubernetes.io/docs/admin/kube-apiserver/",•  Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-apiserver/,1 Section,,,,Manual,HIGH,,"The compliance control requires checking file permissions on the host filesystem, which is outside the scope of Kubernetes APIs and kubectl capabilities. Both AI opinions acknowledge that this task involves SSH access to the control plane node to verify and potentially modify file permissions, which cannot be automated through Kubernetes-native tools.",,"1. SSH into the Control Plane node where the Kubernetes controller manager pod specification file is located. 2. Run the command: `stat -c %a /etc/kubernetes/manifests/kube-controller-manager.yaml`. 3. Verify that the output shows the file permissions are set to 600 or more restrictive (e.g., 600, 400). 4. If the permissions are not 600 or more restrictive, run the command: `chmod 600 /etc/kubernetes/manifests/kube-controller-manager.yaml` to set the appropriate permissions. 5. Re-run the `stat` command to confirm that the permissions have been correctly applied.",Yes,2025-11-02T17:46:06.745236,Manual,HIGH,,"The compliance control requires checking file permissions on the host filesystem, which is outside the scope of Kubernetes APIs and kubectl capabilities. Both AI opinions acknowledge that this task involves SSH access to the control plane node to verify and potentially modify file permissions, which cannot be automated through Kubernetes-native tools.",,"1. SSH into the Control Plane node where the Kubernetes controller manager pod specification file is located. 2. Run the command: `stat -c %a /etc/kubernetes/manifests/kube-controller-manager.yaml`. 3. Verify that the output shows the file permissions are set to 600 or more restrictive (e.g., 600, 400). 4. If the permissions are not 600 or more restrictive, run the command: `chmod 600 /etc/kubernetes/manifests/kube-controller-manager.yaml` to set the appropriate permissions. 5. Re-run the `stat` command to confirm that the permissions have been correctly applied.",Yes,2025-11-02T17:46:06.745236
1.1.4,cis-k8s-k8s-v1111-1-1-4,CIS KUBERNETES BENCHMARK V1.11.1 PDF,Ensure that the controller manager pod specification file ownership is set to root:root,Ensure that the controller manager pod specification file ownership is set to root:root.,The controller manager pod specification file controls various parameters that set the behavior of various components of the master node. You should set its file ownership to maintain the integrity of the file. The file should be owned by root:root. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G /etc/kubernetes/manifests/kube-controller-manager.yaml Verify that the ownership is set to root:root.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root /etc/kubernetes/manifests/kube-controller-manager.yaml Default Value: By default, kube-controller-manager.yaml file ownership is set to root:root. References: 1. https://kubernetes.io/docs/admin/kube-controller-manager",•  Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-controller-manager,1 Section,,,,Manual,HIGH,,"The task requires checking the file ownership on the host filesystem, which is outside the scope of Kubernetes APIs and cannot be directly automated using `kubectl` or other Kubernetes CLI tools. Both AI opinions acknowledge the need for manual intervention, with the second opinion suggesting potential automation through external configuration management tools, which still requires manual setup and is not directly achievable through Kubernetes-native capabilities.",,"1. SSH into the Control Plane node where the Kubernetes controller manager is running. 2. Execute the command: `stat -c %U:%G /etc/kubernetes/manifests/kube-controller-manager.yaml`. 3. Verify that the output displays `root:root` as the file ownership. 4. If the ownership is not `root:root`, execute: `chown root:root /etc/kubernetes/manifests/kube-controller-manager.yaml` to correct it.",Yes,2025-11-02T17:59:57.061301,Manual,HIGH,,"The task requires checking the file ownership on the host filesystem, which is outside the scope of Kubernetes APIs and cannot be directly automated using `kubectl` or other Kubernetes CLI tools. Both AI opinions acknowledge the need for manual intervention, with the second opinion suggesting potential automation through external configuration management tools, which still requires manual setup and is not directly achievable through Kubernetes-native capabilities.",,"1. SSH into the Control Plane node where the Kubernetes controller manager is running. 2. Execute the command: `stat -c %U:%G /etc/kubernetes/manifests/kube-controller-manager.yaml`. 3. Verify that the output displays `root:root` as the file ownership. 4. If the ownership is not `root:root`, execute: `chown root:root /etc/kubernetes/manifests/kube-controller-manager.yaml` to correct it.",Yes,2025-11-02T17:59:57.061301
1.1.5,cis-k8s-k8s-v1111-1-1-5,CIS KUBERNETES BENCHMARK V1.11.1 PDF,Ensure that the scheduler pod specification file permissions are set to 600 or more restrictive,Ensure that the scheduler pod specification file has permissions of 600 or more restrictive.,The scheduler pod specification file controls various parameters that set the behavior of the Scheduler service in the master node. You should restrict its file permissions to maintain the integrity of the file. The file should be writable by only the administrators on the system. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %a /etc/kubernetes/manifests/kube-scheduler.yaml Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 /etc/kubernetes/manifests/kube-scheduler.yaml Default Value: By default, kube-scheduler.yaml file has permissions of 640. References: 1. https://kubernetes.io/docs/admin/kube-scheduler/",•  Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-scheduler/,1 Section,,,,Manual,HIGH,,"The task involves checking and setting file permissions on the host filesystem where the Kubernetes scheduler pod specification file resides. This operation cannot be performed using Kubernetes APIs or `kubectl` since they do not manage host-level file permissions. Both AI opinions acknowledge the necessity of accessing the control plane node directly, which requires a manual approach.",,"1. SSH into the Control Plane node where the kube-scheduler.yaml file is located. 2. Run the command: `stat -c %a /etc/kubernetes/manifests/kube-scheduler.yaml`. 3. Verify that the output shows the permissions as `600` or more restrictive (e.g., `400`). 4. If the permissions are not `600` or more restrictive, run the command: `chmod 600 /etc/kubernetes/manifests/kube-scheduler.yaml` to set the correct permissions. 5. Confirm compliance by re-running the `stat` command to ensure the permissions have been updated correctly.",Yes,2025-11-02T18:41:33.903445,Manual,HIGH,,"The task involves checking and setting file permissions on the host filesystem where the Kubernetes scheduler pod specification file resides. This operation cannot be performed using Kubernetes APIs or `kubectl` since they do not manage host-level file permissions. Both AI opinions acknowledge the necessity of accessing the control plane node directly, which requires a manual approach.",,"1. SSH into the Control Plane node where the kube-scheduler.yaml file is located. 2. Run the command: `stat -c %a /etc/kubernetes/manifests/kube-scheduler.yaml`. 3. Verify that the output shows the permissions as `600` or more restrictive (e.g., `400`). 4. If the permissions are not `600` or more restrictive, run the command: `chmod 600 /etc/kubernetes/manifests/kube-scheduler.yaml` to set the correct permissions. 5. Confirm compliance by re-running the `stat` command to ensure the permissions have been updated correctly.",Yes,2025-11-02T18:41:33.903445
1.1.6,cis-k8s-k8s-v1111-1-1-6,CIS KUBERNETES BENCHMARK V1.11.1 PDF,Ensure that the scheduler pod specification file ownership is set to root:root,Ensure that the scheduler pod specification file ownership is set to root:root.,The scheduler pod specification file controls various parameters that set the behavior of the kube-scheduler service in the master node. You should set its file ownership to maintain the integrity of the file. The file should be owned by root:root. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G /etc/kubernetes/manifests/kube-scheduler.yaml Verify that the ownership is set to root:root.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root /etc/kubernetes/manifests/kube-scheduler.yaml Default Value: By default, kube-scheduler.yaml file ownership is set to root:root. References: 1. https://kubernetes.io/docs/admin/kube-scheduler/",•  Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-scheduler/,1 Section,,,,Manual,HIGH,,"The compliance control requires checking the file ownership of the scheduler pod specification file on the host file system, which is not accessible through Kubernetes APIs or kubectl. Both AI opinions recognize the need for manual verification, as file ownership is a property of the host system rather than a Kubernetes resource. Automation tools could potentially script this process, but it still requires SSH access to the control plane nodes, confirming the manual nature of the task.",,"1. SSH into the Control Plane node where the kube-scheduler pod specification file is located. 2. Run the command: `stat -c %U:%G /etc/kubernetes/manifests/kube-scheduler.yaml`. 3. Verify that the output shows `root:root`. 4. If the ownership is not set to `root:root`, run the command: `chown root:root /etc/kubernetes/manifests/kube-scheduler.yaml` to remediate the issue.",Yes,2025-11-02T18:05:10.389138,Manual,HIGH,,"The compliance control requires checking the file ownership of the scheduler pod specification file on the host file system, which is not accessible through Kubernetes APIs or kubectl. Both AI opinions recognize the need for manual verification, as file ownership is a property of the host system rather than a Kubernetes resource. Automation tools could potentially script this process, but it still requires SSH access to the control plane nodes, confirming the manual nature of the task.",,"1. SSH into the Control Plane node where the kube-scheduler pod specification file is located. 2. Run the command: `stat -c %U:%G /etc/kubernetes/manifests/kube-scheduler.yaml`. 3. Verify that the output shows `root:root`. 4. If the ownership is not set to `root:root`, run the command: `chown root:root /etc/kubernetes/manifests/kube-scheduler.yaml` to remediate the issue.",Yes,2025-11-02T18:05:10.389138
1.1.7,cis-k8s-k8s-v1111-1-1-7,CIS KUBERNETES BENCHMARK V1.11.1 PDF,Ensure that the etcd pod specification file permissions are set to 600 or more restrictive,Ensure that the /etc/kubernetes/manifests/etcd.yaml file has permissions of 600 or more restrictive.,The etcd pod specification file /etc/kubernetes/manifests/etcd.yaml controls various parameters that set the behavior of the etcd service in the master node. etcd is a highly-available key-value store which Kubernetes uses for persistent storage of all of its REST API object. You should restrict its file permissions to maintain the integrity of the file. The file should be writable by only the administrators on the system. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %a /etc/kubernetes/manifests/etcd.yaml Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 /etc/kubernetes/manifests/etcd.yaml Default Value: By default, /etc/kubernetes/manifests/etcd.yaml file has permissions of 640. References: 1. https://coreos.com/etcd 2. https://kubernetes.io/docs/admin/etcd/",•  Level 1 - Master Node,None,1. https://coreos.com/etcd 2. https://kubernetes.io/docs/admin/etcd/,1 Section,,,,Manual,HIGH,,"The task involves verifying and setting file permissions on the host filesystem, specifically for the etcd pod specification file. This operation requires direct access to the file system of the control plane node, which is outside the scope of Kubernetes APIs or kubectl capabilities. Both AI opinions recognize the need for manual intervention, with the second opinion suggesting potential automation through external tools, but not through Kubernetes-native methods.",,"1. SSH into the Control Plane node where Kubernetes is installed. 2. Execute the command: `stat -c %a /etc/kubernetes/manifests/etcd.yaml` to check the current file permissions. 3. Verify that the output shows the file permissions as 600 or more restrictive (e.g., 400). 4. If the permissions are not compliant, execute the command: `chmod 600 /etc/kubernetes/manifests/etcd.yaml` to set the correct permissions. 5. Re-run the `stat` command to confirm that the permissions have been correctly set to 600.",Yes,2025-11-02T18:23:47.958318,Manual,HIGH,,"The task involves verifying and setting file permissions on the host filesystem, specifically for the etcd pod specification file. This operation requires direct access to the file system of the control plane node, which is outside the scope of Kubernetes APIs or kubectl capabilities. Both AI opinions recognize the need for manual intervention, with the second opinion suggesting potential automation through external tools, but not through Kubernetes-native methods.",,"1. SSH into the Control Plane node where Kubernetes is installed. 2. Execute the command: `stat -c %a /etc/kubernetes/manifests/etcd.yaml` to check the current file permissions. 3. Verify that the output shows the file permissions as 600 or more restrictive (e.g., 400). 4. If the permissions are not compliant, execute the command: `chmod 600 /etc/kubernetes/manifests/etcd.yaml` to set the correct permissions. 5. Re-run the `stat` command to confirm that the permissions have been correctly set to 600.",Yes,2025-11-02T18:23:47.958318
1.1.8,cis-k8s-k8s-v1111-1-1-8,CIS KUBERNETES BENCHMARK V1.11.1 PDF,Ensure that the etcd pod specification file ownership is set to root:root,Ensure that the /etc/kubernetes/manifests/etcd.yaml file ownership is set to root:root.,The etcd pod specification file /etc/kubernetes/manifests/etcd.yaml controls various parameters that set the behavior of the etcd service in the master node. etcd is a highly-available key-value store which Kubernetes uses for persistent storage of all of its REST API object. You should set its file ownership to maintain the integrity of the file. The file should be owned by root:root. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G /etc/kubernetes/manifests/etcd.yaml Verify that the ownership is set to root:root.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root /etc/kubernetes/manifests/etcd.yaml Default Value: By default, /etc/kubernetes/manifests/etcd.yaml file ownership is set to root:root. References: 1. https://coreos.com/etcd 2. https://kubernetes.io/docs/admin/etcd/",•  Level 1 - Master Node,None,1. https://coreos.com/etcd 2. https://kubernetes.io/docs/admin/etcd/,1 Section,,,,Manual,HIGH,,"The task involves verifying and setting file ownership on the host filesystem, which is outside the scope of Kubernetes APIs and kubectl capabilities. Both AI opinions acknowledge that this task requires direct interaction with the host system, typically through SSH, as Kubernetes does not provide native methods to manage file ownership on the underlying nodes.",,"1. SSH into the Control Plane node where the etcd pod specification file is located. 2. Run the command: `stat -c %U:%G /etc/kubernetes/manifests/etcd.yaml`. 3. Verify that the output shows `root:root`. 4. If the ownership is not set to `root:root`, run the command: `chown root:root /etc/kubernetes/manifests/etcd.yaml` to correct the ownership.",Yes,2025-11-02T18:37:27.997140,Manual,HIGH,,"The task involves verifying and setting file ownership on the host filesystem, which is outside the scope of Kubernetes APIs and kubectl capabilities. Both AI opinions acknowledge that this task requires direct interaction with the host system, typically through SSH, as Kubernetes does not provide native methods to manage file ownership on the underlying nodes.",,"1. SSH into the Control Plane node where the etcd pod specification file is located. 2. Run the command: `stat -c %U:%G /etc/kubernetes/manifests/etcd.yaml`. 3. Verify that the output shows `root:root`. 4. If the ownership is not set to `root:root`, run the command: `chown root:root /etc/kubernetes/manifests/etcd.yaml` to correct the ownership.",Yes,2025-11-02T18:37:27.997140
1.1.9,cis-k8s-k8s-v1111-1-1-9,CIS KUBERNETES BENCHMARK V1.11.1 PDF,Ensure that the Container Network Interface file permissions are set to 600 or more restrictive,Ensure that the Container Network Interface files have permissions of 600 or more restrictive.,Container Network Interface provides various networking options for overlay networking. You should consult their documentation and restrict their respective file permissions to maintain the integrity of those files. Those files should be writable by only the administrators on the system. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %a <path/to/cni/files> Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 <path/to/cni/files> Default Value: NA References: 1. https://kubernetes.io/docs/concepts/cluster-administration/networking/",•  Level 1 - Master Node,None,1. https://kubernetes.io/docs/concepts/cluster-administration/networking/,1 Section,,,,Manual,HIGH,,"The task involves checking and setting file permissions on the host system where the Container Network Interface (CNI) files reside. This is outside the scope of Kubernetes APIs and CLI capabilities, which manage Kubernetes resources rather than host file system permissions. Both AI opinions acknowledge the necessity of manual intervention or external automation tools, but since Kubernetes itself does not provide direct methods for this, a manual approach is required.",,"1. SSH into the Control Plane node where the Container Network Interface (CNI) files are located. 2. Navigate to the directory where the CNI files are stored, typically `/etc/cni/net.d/` or a similar path depending on your configuration. 3. Run the command `stat -c %a <path/to/cni/files>` for each CNI file to check the file permissions. 4. Verify that the permissions are set to `600` or more restrictive (e.g., `400`). 5. If any file permissions are found to be less restrictive than `600`, run the command `chmod 600 <path/to/cni/files>` to correct the permissions. 6. Re-run the `stat -c %a <path/to/cni/files>` command to ensure that the permissions are now set to `600` or more restrictive.",Yes,2025-11-02T17:44:22.888618,Manual,HIGH,,"The task involves checking and setting file permissions on the host system where the Container Network Interface (CNI) files reside. This is outside the scope of Kubernetes APIs and CLI capabilities, which manage Kubernetes resources rather than host file system permissions. Both AI opinions acknowledge the necessity of manual intervention or external automation tools, but since Kubernetes itself does not provide direct methods for this, a manual approach is required.",,"1. SSH into the Control Plane node where the Container Network Interface (CNI) files are located. 2. Navigate to the directory where the CNI files are stored, typically `/etc/cni/net.d/` or a similar path depending on your configuration. 3. Run the command `stat -c %a <path/to/cni/files>` for each CNI file to check the file permissions. 4. Verify that the permissions are set to `600` or more restrictive (e.g., `400`). 5. If any file permissions are found to be less restrictive than `600`, run the command `chmod 600 <path/to/cni/files>` to correct the permissions. 6. Re-run the `stat -c %a <path/to/cni/files>` command to ensure that the permissions are now set to `600` or more restrictive.",Yes,2025-11-02T17:44:22.888618
1.1.10,cis-k8s-k8s-v1111-1-1-10,CIS KUBERNETES BENCHMARK V1.11.1 PDF,Ensure that the Container Network Interface file ownership is set to root:root,Ensure that the Container Network Interface files have ownership set to root:root.,Container Network Interface provides various networking options for overlay networking. You should consult their documentation and restrict their respective file permissions to maintain the integrity of those files. Those files should be owned by root:root. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G <path/to/cni/files> Verify that the ownership is set to root:root.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root <path/to/cni/files> Default Value: NA References: 1. https://kubernetes.io/docs/concepts/cluster-administration/networking/",•  Level 1 - Master Node,None,1. https://kubernetes.io/docs/concepts/cluster-administration/networking/,1 Section,,,,Manual,HIGH,,"The task of verifying and setting file ownership for Container Network Interface (CNI) files to root:root is inherently a file system operation that requires direct access to the underlying nodes. Kubernetes APIs and CLI tools like kubectl do not manage file system permissions, making this task unsuitable for automation through Kubernetes-native tools. Both AI opinions recognize the need for manual verification, with the second opinion suggesting automation through external scripts, which falls outside the scope of Kubernetes API capabilities.",,"1. SSH into the Control Plane node where the Container Network Interface (CNI) files are located. 2. Navigate to the directory where the CNI files are stored, typically `/etc/cni/net.d/` or a similar path. 3. Run the command: `stat -c %U:%G <path/to/cni/files>` for each CNI file to check the ownership. 4. Verify that the output shows `root:root` for each CNI file. 5. If any file does not have the ownership set to `root:root`, run the command: `chown root:root <path/to/cni/files>` to correct the ownership. 6. Confirm compliance by re-running the `stat` command to ensure the ownership is now set to `root:root`.",Yes,2025-11-02T18:44:28.906767,Manual,HIGH,,"The task of verifying and setting file ownership for Container Network Interface (CNI) files to root:root is inherently a file system operation that requires direct access to the underlying nodes. Kubernetes APIs and CLI tools like kubectl do not manage file system permissions, making this task unsuitable for automation through Kubernetes-native tools. Both AI opinions recognize the need for manual verification, with the second opinion suggesting automation through external scripts, which falls outside the scope of Kubernetes API capabilities.",,"1. SSH into the Control Plane node where the Container Network Interface (CNI) files are located. 2. Navigate to the directory where the CNI files are stored, typically `/etc/cni/net.d/` or a similar path. 3. Run the command: `stat -c %U:%G <path/to/cni/files>` for each CNI file to check the ownership. 4. Verify that the output shows `root:root` for each CNI file. 5. If any file does not have the ownership set to `root:root`, run the command: `chown root:root <path/to/cni/files>` to correct the ownership. 6. Confirm compliance by re-running the `stat` command to ensure the ownership is now set to `root:root`.",Yes,2025-11-02T18:44:28.906767
