csp,unique_compliance_id,framework,control_id,title,missing_check_name,suggested_rule_id,priority,rule_type,notes
aws,cis_aws_11.2,CIS_AWS,11.2,Ensure Network Access is Secure,aws_qldb_vpc_network_access_secure_configuration_check,aws.qldb.vpc.network_access_secure_configuration_check,1,config,Generated from compliance_agent check name; refine during rule development
aws,cis_aws_11.3,CIS_AWS,11.3,Ensure Data at Rest is Encrypted,aws_qldb_ledger_encryption_at_rest_enabled,aws.qldb.ledger.encryption_at_rest_enabled,1,config,Generated from compliance_agent check name; refine during rule development
aws,cis_aws_11.6,CIS_AWS,11.6,Ensure Monitoring and Logging is Enabled,aws_qldb_logging_and_monitoring_compliance_check,aws.qldb.logging.and_monitoring_compliance_check,1,config,Generated from compliance_agent check name; refine during rule development
aws,cis_aws_11.7,CIS_AWS,11.7,Ensure to Enable Backup and Recovery,aws_qldb_ledger_journal_export_configured,aws.qldb.ledger.journal_export_configured,1,config,Generated from compliance_agent check name; refine during rule development
aws,cis_aws_3.2.8,CIS_AWS,3.2.8,Ensure that the --rotate-certificates argument is not present  or is set to true,aws_eks_kubelet_rotate_certificates_check,aws.eks.kubelet.rotate_certificates_check,1,config,Generated from compliance_agent check name; refine during rule development
aws,iso27001_2022_A.8.1,ISO27001_2022,A.8.1,User Endpoint Devices,aws_ec2_securitygroup_allow_wide_open_public_ipv4,aws.ec2.securitygroup.allow_wide_open_public_ipv4,2,config,Generated from compliance_agent check name; refine during rule development
aws,iso27001_2022_A.8.13,ISO27001_2022,A.8.13,Information Backup,aws_backup_reportplans_exist,aws.backup.reportplans.exist,2,config,Generated from compliance_agent check name; refine during rule development
aws,iso27001_2022_A.8.20,ISO27001_2022,A.8.20,Network Security,aws_ec2_securitygroup_not_used,aws.ec2.securitygroup.not_used,2,config,Generated from compliance_agent check name; refine during rule development
aws,iso27001_2022_A.8.20,ISO27001_2022,A.8.20,Network Security,aws_ec2_securitygroup_allow_wide_open_public_ipv4,aws.ec2.securitygroup.allow_wide_open_public_ipv4,2,config,Generated from compliance_agent check name; refine during rule development
aws,iso27001_2022_A.8.21,ISO27001_2022,A.8.21,Security of Network Services,aws_ec2_securitygroup_not_used,aws.ec2.securitygroup.not_used,2,config,Generated from compliance_agent check name; refine during rule development
