rule_id,provider,service,category,severity,title,description,check_type,threat_category,mitre_tactics,mitre_techniques,risk_score,domain,action_category,posture_category,source_file
alicloud.ciem.chain.data_exfiltration_via_oss,alicloud,ciem,ciem,critical,AliCloud CIEM: OSS Bucket Made Public then Objects Accessed,"Attack chain: OSS bucket ACL was changed to public-read, followed by mass object access — indicating deliberate data staging for exfiltration.",log,data_exfiltration,collection;exfiltration,T1530,97,data_protection_and_privacy,modify,data_security_posture,alicloud_rule_ciem/ciem/alicloud.ciem.chain.data_exfiltration_via_oss.yaml
alicloud.ciem.chain.privilege_escalation_via_role_assumption,alicloud,ciem,ciem,critical,AliCloud CIEM: Role Created with Broad Trust then Assumed,"Correlated attack chain: a RAM role with broad trust policy was created, then immediately assumed via STS. Classic privilege escalation via role trust policy manipulation.",log,privilege_escalation,privilege_escalation,T1098.003;T1550.001,96,identity_and_access_management,privilege_escalation,iam_posture,alicloud_rule_ciem/ciem/alicloud.ciem.chain.privilege_escalation_via_role_assumption.yaml
alicloud.ciem.correlation.defense_evasion_then_exfil,alicloud,ciem,ciem,critical,AliCloud CIEM: Logging Disabled then Data Access,"Correlated defense evasion + data exfiltration: ActionTrail logging was stopped or a trail deleted, followed by OSS bucket policy changes or snapshot sharing — classic pre-exfil pattern.",log,data_exfiltration,defense_evasion;exfiltration,T1562.008;T1537,98,threat_detection_and_incident_response,delete,threat_posture,alicloud_rule_ciem/ciem/alicloud.ciem.correlation.defense_evasion_then_exfil.yaml
alicloud.ciem.correlation.privilege_escalation_persistence,alicloud,ciem,ciem,critical,AliCloud CIEM: Policy Attachment Followed by Access Key Creation,Correlated privilege escalation + persistence: a RAM policy was attached (privilege escalation) then an access key was created within the same session (backdoor).,log,privilege_escalation,privilege_escalation;persistence,T1548;T1098,94,identity_and_access_management,privilege_escalation,iam_posture,alicloud_rule_ciem/ciem/alicloud.ciem.correlation.privilege_escalation_persistence.yaml
alicloud.ciem.correlation.stale_access_key,alicloud,ciem,ciem,high,AliCloud CIEM: Access Key Used Past Rotation Deadline,An access key was used significantly past its rotation deadline — a persistence indicator for stale credentials retained by an adversary.,log,persistence,credential_access,T1552.005,72,identity_and_access_management,audit_activity,iam_posture,alicloud_rule_ciem/ciem/alicloud.ciem.correlation.stale_access_key.yaml
alicloud.compute.actiontrail.create_command,alicloud,compute,compute,medium,AliCloud ECS: Cloud Assistant Command Created,A new Cloud Assistant command script was created. Pre-staging malicious commands before invocation is a common technique to reduce noise at execution time.,log,execution,execution,T1651,60,compute_and_workload_security,create,workload_posture,alicloud_rule_ciem/compute/alicloud.compute.actiontrail.create_command.yaml
alicloud.compute.actiontrail.create_key_pair,alicloud,compute,compute,medium,AliCloud ECS: SSH Key Pair Created,An SSH key pair was created. Adversaries create new key pairs to establish persistent SSH access to instances independent of password-based authentication.,log,persistence,persistence,T1098.004,65,compute_and_workload_security,create,workload_posture,alicloud_rule_ciem/compute/alicloud.compute.actiontrail.create_key_pair.yaml
alicloud.compute.actiontrail.create_snapshot,alicloud,compute,compute,medium,AliCloud ECS: Disk Snapshot Created,A disk snapshot was created. Adversaries create snapshots of data volumes to stage exfiltration — sharing the snapshot with an attacker-controlled account.,log,collection,collection;exfiltration,T1530,60,data_protection_and_privacy,create,data_security_posture,alicloud_rule_ciem/compute/alicloud.compute.actiontrail.create_snapshot.yaml
alicloud.compute.actiontrail.import_key_pair,alicloud,compute,compute,high,AliCloud ECS: External SSH Public Key Imported,An externally-generated SSH public key was imported into AliCloud. Importing attacker-controlled keys enables persistent SSH access to any instance it's attached to.,log,persistence,persistence,T1098.004,80,compute_and_workload_security,create,workload_posture,alicloud_rule_ciem/compute/alicloud.compute.actiontrail.import_key_pair.yaml
alicloud.compute.actiontrail.modify_instance_metadata,alicloud,compute,compute,high,AliCloud ECS: Instance Metadata Service Config Changed,IMDSv2-equivalent settings on an ECS instance were modified. Disabling token-required metadata access re-enables SSRF-based credential theft.,log,credential_access,credential_access,T1552.005,82,compute_and_workload_security,modify,workload_posture,alicloud_rule_ciem/compute/alicloud.compute.actiontrail.modify_instance_metadata.yaml
alicloud.compute.actiontrail.modify_security_group_rule,alicloud,compute,compute,high,AliCloud ECS: Security Group Inbound Rule Added (All Traffic),A security group inbound rule was added. Rules permitting 0.0.0.0/0 expose instances to internet-wide access and are a common misconfiguration exploited for initial access.,log,initial_access,initial_access,T1190,80,network_security_and_connectivity,create,network_posture,alicloud_rule_ciem/compute/alicloud.compute.actiontrail.modify_security_group_rule.yaml
alicloud.compute.actiontrail.modify_userdata,alicloud,compute,compute,critical,AliCloud ECS: Instance User Data Modified,ECS instance user data was modified. User data runs as root on next boot — adversaries inject malicious scripts for persistence or lateral movement.,log,persistence,persistence;execution,T1059.004;T1546,90,compute_and_workload_security,modify,workload_posture,alicloud_rule_ciem/compute/alicloud.compute.actiontrail.modify_userdata.yaml
alicloud.compute.actiontrail.revoke_security_group_rule,alicloud,compute,compute,medium,AliCloud ECS: Security Group Inbound Rule Deleted,A security group rule was deleted. Adversaries remove security controls to enable lateral movement or cover their tracks.,log,defense_evasion,defense_evasion,T1070,55,network_security_and_connectivity,delete,network_posture,alicloud_rule_ciem/compute/alicloud.compute.actiontrail.revoke_security_group_rule.yaml
alicloud.compute.actiontrail.run_command,alicloud,compute,compute,high,AliCloud ECS: Remote Command Invoked via Cloud Assistant,ECS Cloud Assistant InvokeCommand was called to execute a command on a running instance. This is equivalent to AWS SSM RunCommand and is abused for remote code execution via the control plane.,log,execution,execution,T1651,85,compute_and_workload_security,create,workload_posture,alicloud_rule_ciem/compute/alicloud.compute.actiontrail.run_command.yaml
alicloud.compute.actiontrail.start_instance,alicloud,compute,compute,low,AliCloud ECS: Stopped Instance Started,"A previously stopped ECS instance was started. Adversaries may start instances to use dormant credentials, access stored data, or use compute resources for crypto mining.",log,resource_hijacking,execution,T1496,35,compute_and_workload_security,modify,workload_posture,alicloud_rule_ciem/compute/alicloud.compute.actiontrail.start_instance.yaml
alicloud.container.actiontrail.delete_cluster,alicloud,container,container,critical,AliCloud ACK: Kubernetes Cluster Deleted,"An ACK Kubernetes cluster was deleted. Cluster deletion destroys all workloads, persistent volumes, and configurations — a high-impact denial of service technique.",log,impact,impact,T1485;T1489,95,container_and_kubernetes_security,delete,workload_posture,alicloud_rule_ciem/container/alicloud.container.actiontrail.delete_cluster.yaml
alicloud.container.actiontrail.get_kubeconfig,alicloud,container,container,high,AliCloud ACK: Cluster Kubeconfig Downloaded,A Kubernetes cluster kubeconfig was downloaded via DescribeClusterUserKubeconfig. Kubeconfigs contain credentials — exfiltrating one provides full kubectl access to the cluster.,log,credential_access,credential_access,T1552;T1528,85,container_and_kubernetes_security,audit_activity,workload_posture,alicloud_rule_ciem/container/alicloud.container.actiontrail.get_kubeconfig.yaml
alicloud.container.actiontrail.modify_cluster_security,alicloud,container,container,high,AliCloud ACK: Cluster API Server Access Configuration Changed,The cluster's public API server endpoint configuration was changed. Enabling public API server access exposes the Kubernetes control plane to the internet.,log,initial_access,initial_access,T1190,82,container_and_kubernetes_security,modify,workload_posture,alicloud_rule_ciem/container/alicloud.container.actiontrail.modify_cluster_security.yaml
