Requirement_ID,Title,Section,Family_Code,Automation_Type,AWS_Checks,Azure_Checks,GCP_Checks,Oracle_Checks,IBM_Checks,Alicloud_Checks,Total_Checks
3_11_2,3_11_2: 3.11.2 Scan for vulnerabilities in organizational systems and applications periodically and when new vulnerabilities affecting those systems and applications are identified,3.11 Risk Assessment,RA,automated,aws_guardduty_is_enabled; aws_guardduty_no_high_severity_findings; aws_securityhub_enabled,azure_defender_enabled; azure_defender_no_high_severity_findings,gcp_security_command_center_enabled; gcp_security_command_center_no_high_severity_findings,oracle_cloud_guard_enabled; oracle_cloud_guard_is_enabled; oracle_cloud_guard_no_high_severity_findings,ibm_security_advisor_enabled; ibm_security_advisor_is_enabled; ibm_security_advisor_no_high_severity_findings,alicloud_security_center_enabled; alicloud_threat_detection_is_enabled; alicloud_threat_detection_no_high_severity_findings,16
3_11_3,3_11_3: 3.11.3 Remediate vulnerabilities in accordance with risk assessments,3.11 Risk Assessment,RA,automated,aws_guardduty_is_enabled; aws_guardduty_no_high_severity_findings; aws_securityhub_enabled,azure_defender_enabled; azure_defender_no_high_severity_findings; azure_monitor_enabled,gcp_security_command_center_enabled; gcp_security_command_center_no_high_severity_findings; gcp_logging_enabled,oracle_cloud_guard_enabled; oracle_cloud_guard_is_enabled; oracle_cloud_guard_no_high_severity_findings,ibm_security_advisor_enabled; ibm_security_advisor_is_enabled; ibm_security_advisor_no_high_severity_findings,alicloud_security_center_enabled; alicloud_threat_detection_is_enabled; alicloud_threat_detection_no_high_severity_findings,18
3_12_4,"3_12_4: 3.12.4 Develop, document, and periodically update system security plans that describe system boundaries, system environments of operation, how security requirements are implemented, and the relationships with or connections to other systems","3.12 Assessment, Authorization, and Monitoring",CA,automated,aws_cloudtrail_cloudwatch_logging_enabled; aws_cloudwatch_changes_to_network_acls_alarm_configured; aws_cloudwatch_changes_to_network_gateways_alarm_configured; aws_cloudwatch_changes_to_network_route_tables_alarm_configured; aws_cloudwatch_changes_to_vpcs_alarm_configured; aws_ec2_instance_imdsv2_enabled; aws_guardduty_is_enabled; aws_rds_instance_enhanced_monitoring_enabled; aws_securityhub_enabled,azure_monitor_enabled; azure_monitor_changes_to_network_acls_alarm_configured; azure_monitor_changes_to_network_gateways_alarm_configured; azure_monitor_changes_to_network_route_tables_alarm_configured; azure_monitor_changes_to_virtual_networks_alarm_configured; azure_vm_imdsv2_enabled; microsoft_defender_enabled; azure_sql_database_enhanced_monitoring_enabled,gcp_logging_enabled; gcp_monitoring_changes_to_network_acls_alarm_configured; gcp_monitoring_changes_to_network_gateways_alarm_configured; gcp_monitoring_changes_to_network_route_tables_alarm_configured; gcp_monitoring_changes_to_vpcs_alarm_configured; gcp_compute_instance_imdsv2_enabled; gcp_security_command_center_enabled; gcp_sql_instance_enhanced_monitoring_enabled,oracle_audit_cloudwatch_logging_enabled; oracle_cloud_guard_enabled; oracle_cloud_guard_is_enabled; oracle_compute_instance_imdsv2_enabled; oracle_database_instance_enhanced_monitoring_enabled; oracle_monitoring_changes_to_network_acls_alarm_configured; oracle_monitoring_changes_to_network_gateways_alarm_configured; oracle_monitoring_changes_to_network_route_tables_alarm_configured; oracle_monitoring_changes_to_vpcs_alarm_configured,ibm_activity_tracker_cloudwatch_logging_enabled; ibm_database_instance_enhanced_monitoring_enabled; ibm_monitoring_changes_to_network_acls_alarm_configured; ibm_monitoring_changes_to_network_gateways_alarm_configured; ibm_monitoring_changes_to_network_route_tables_alarm_configured; ibm_monitoring_changes_to_vpcs_alarm_configured; ibm_security_advisor_enabled; ibm_security_advisor_is_enabled; ibm_vsi_instance_imdsv2_enabled,alicloud_actiontrail_cloudwatch_logging_enabled; alicloud_cloudmonitor_changes_to_network_acls_alarm_configured; alicloud_cloudmonitor_changes_to_network_gateways_alarm_configured; alicloud_cloudmonitor_changes_to_network_route_tables_alarm_configured; alicloud_cloudmonitor_changes_to_vpcs_alarm_configured; alicloud_ecs_instance_imdsv2_enabled; alicloud_rds_instance_enhanced_monitoring_enabled; alicloud_security_center_enabled; alicloud_threat_detection_is_enabled,52
3_13_1,"3_13_1: 3.13.1 Monitor, control, and protect communications (i.e., information transmitted or received by organizational systems) at the external boundaries and key internal boundaries of organizational systems",3.13 System and Communications Protection,SC,automated,aws_acm_certificates_expiration_check; aws_apigateway_restapi_logging_enabled; aws_awslambda_function_not_publicly_accessible; aws_cloudtrail_log_file_validation_enabled; aws_cloudtrail_multi_region_enabled; aws_cloudtrail_s3_dataevents_read_enabled; aws_cloudtrail_s3_dataevents_write_enabled; aws_ec2_networkacl_allow_ingress_any_port; aws_ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22; aws_elb_logging_enabled; aws_elb_ssl_listeners; aws_elbv2_logging_enabled; aws_elbv2_waf_acl_attached; aws_guardduty_is_enabled; aws_rds_instance_integration_cloudwatch_logs; aws_rds_instance_no_public_access; aws_redshift_cluster_public_access; aws_s3_bucket_secure_transport_policy; aws_s3_bucket_server_access_logging_enabled; aws_securityhub_enabled; aws_vpc_flow_logs_enabled,azure_monitor_enabled; azure_apimanagement_logging_enabled; azure_functions_not_publicly_accessible; azure_monitor_log_file_validation_enabled; azure_monitor_multi_region_enabled; azure_monitor_s3_dataevents_read_enabled; azure_monitor_s3_dataevents_write_enabled; azure_vm_networkacl_allow_ingress_any_port; azure_vm_securitygroup_allow_ingress_from_internet_to_tcp_port_22; azure_loadbalancer_logging_enabled; azure_loadbalancer_ssl_listeners; azure_loadbalancer_v2_logging_enabled; azure_loadbalancer_v2_waf_acl_attached; azure_defender_is_enabled; azure_sql_instance_integration_monitoring; azure_sql_instance_no_public_access; azure_synapse_cluster_public_access; azure_storage_bucket_secure_transport_policy; azure_storage_bucket_server_access_logging_enabled; azure_defender_enabled; azure_virtualnetwork_flow_logs_enabled,gcp_logging_enabled; gcp_apigateway_logging_enabled; gcp_cloudfunctions_not_publicly_accessible; gcp_logging_log_file_validation_enabled; gcp_logging_multi_region_enabled; gcp_logging_s3_dataevents_read_enabled; gcp_logging_s3_dataevents_write_enabled; gcp_compute_networkacl_allow_ingress_any_port; gcp_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_22; gcp_loadbalancing_logging_enabled; gcp_loadbalancing_ssl_listeners; gcp_loadbalancing_v2_logging_enabled; gcp_loadbalancing_v2_waf_acl_attached; gcp_securitycommandcenter_is_enabled; gcp_sql_instance_integration_logging; gcp_sql_instance_no_public_access; gcp_bigquery_cluster_public_access; gcp_storage_bucket_secure_transport_policy; gcp_storage_bucket_server_access_logging_enabled; gcp_securitycommandcenter_enabled; gcp_vpc_flow_logs_enabled,oracle_acm_certificates_expiration_check; oracle_apigateway_restapi_logging_enabled; oracle_audit_log_file_validation_enabled; oracle_audit_multi_region_enabled; oracle_audit_s3_dataevents_read_enabled; oracle_audit_s3_dataevents_write_enabled; oracle_awslambda_function_not_publicly_accessible; oracle_cloud_guard_enabled; oracle_cloud_guard_is_enabled; oracle_compute_networkacl_allow_ingress_any_port; oracle_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_22; oracle_database_instance_integration_cloudwatch_logs; oracle_database_instance_no_public_access; oracle_elb_logging_enabled; oracle_elb_ssl_listeners; oracle_elbv2_logging_enabled; oracle_elbv2_waf_acl_attached; oracle_object_storage_bucket_secure_transport_policy; oracle_object_storage_bucket_server_access_logging_enabled; oracle_redshift_cluster_public_access; oracle_vcn_flow_logs_enabled,ibm_acm_certificates_expiration_check; ibm_activity_tracker_log_file_validation_enabled; ibm_activity_tracker_multi_region_enabled; ibm_activity_tracker_s3_dataevents_read_enabled; ibm_activity_tracker_s3_dataevents_write_enabled; ibm_apigateway_restapi_logging_enabled; ibm_awslambda_function_not_publicly_accessible; ibm_cos_bucket_secure_transport_policy; ibm_cos_bucket_server_access_logging_enabled; ibm_database_instance_integration_cloudwatch_logs; ibm_database_instance_no_public_access; ibm_elb_logging_enabled; ibm_elb_ssl_listeners; ibm_elbv2_logging_enabled; ibm_elbv2_waf_acl_attached; ibm_redshift_cluster_public_access; ibm_security_advisor_enabled; ibm_security_advisor_is_enabled; ibm_vpc_flow_logs_enabled; ibm_vsi_networkacl_allow_ingress_any_port; ibm_vsi_securitygroup_allow_ingress_from_internet_to_tcp_port_22,alicloud_acm_certificates_expiration_check; alicloud_actiontrail_log_file_validation_enabled; alicloud_actiontrail_multi_region_enabled; alicloud_actiontrail_s3_dataevents_read_enabled; alicloud_actiontrail_s3_dataevents_write_enabled; alicloud_apigateway_restapi_logging_enabled; alicloud_awslambda_function_not_publicly_accessible; alicloud_ecs_networkacl_allow_ingress_any_port; alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22; alicloud_elb_logging_enabled; alicloud_elb_ssl_listeners; alicloud_elbv2_logging_enabled; alicloud_elbv2_waf_acl_attached; alicloud_oss_bucket_secure_transport_policy; alicloud_oss_bucket_server_access_logging_enabled; alicloud_rds_instance_integration_cloudwatch_logs; alicloud_rds_instance_no_public_access; alicloud_redshift_cluster_public_access; alicloud_security_center_enabled; alicloud_threat_detection_is_enabled; alicloud_vpc_flow_logs_enabled,126
3_13_11,3_13_11: 3.13.11 Employ FIPS-validated cryptography when used to protect the confidentiality of CUI,3.13 System and Communications Protection,SC,automated,aws_acm_certificates_expiration_check; aws_cloudtrail_kms_encryption_enabled; aws_cloudwatch_log_group_kms_encryption_enabled; aws_dynamodb_tables_kms_cmk_encryption_enabled; aws_ec2_ebs_volume_encryption; aws_efs_encryption_at_rest_enabled; aws_opensearch_service_domains_encryption_at_rest_enabled; aws_rds_instance_storage_encrypted; aws_s3_bucket_default_encryption; aws_s3_bucket_secure_transport_policy; aws_sagemaker_notebook_instance_encryption_enabled; aws_sns_topics_kms_encryption_at_rest_enabled,azure_keyvault_certificates_expiration_check; azure_monitor_kms_encryption_enabled; azure_monitor_log_group_kms_encryption_enabled; azure_cosmosdb_kms_cmk_encryption_enabled; azure_vm_disk_encryption_enabled; azure_files_encryption_at_rest_enabled; azure_search_domains_encryption_at_rest_enabled; azure_sql_database_storage_encrypted; azure_storage_blob_default_encryption; azure_storage_blob_secure_transport_policy; azure_ml_notebook_instance_encryption_enabled; azure_servicebus_topics_kms_encryption_at_rest_enabled,gcp_acm_certificates_expiration_check; gcp_logging_kms_encryption_enabled; gcp_logging_log_group_kms_encryption_enabled; gcp_datastore_kms_cmk_encryption_enabled; gcp_compute_disk_encryption_enabled; gcp_filestore_encryption_at_rest_enabled; gcp_elasticsearch_service_domains_encryption_at_rest_enabled; gcp_sql_instance_storage_encrypted; gcp_storage_bucket_default_encryption; gcp_storage_bucket_secure_transport_policy; gcp_vertex_ai_notebook_instance_encryption_enabled; gcp_pubsub_topics_kms_encryption_at_rest_enabled,oracle_acm_certificates_expiration_check; oracle_audit_kms_encryption_enabled; oracle_compute_ebs_volume_encryption; oracle_database_instance_storage_encrypted; oracle_dynamodb_tables_kms_cmk_encryption_enabled; oracle_efs_encryption_at_rest_enabled; oracle_monitoring_log_group_kms_encryption_enabled; oracle_object_storage_bucket_default_encryption; oracle_object_storage_bucket_secure_transport_policy; oracle_opensearch_service_domains_encryption_at_rest_enabled; oracle_sagemaker_notebook_instance_encryption_enabled; oracle_sns_topics_kms_encryption_at_rest_enabled,ibm_acm_certificates_expiration_check; ibm_activity_tracker_kms_encryption_enabled; ibm_cos_bucket_default_encryption; ibm_cos_bucket_secure_transport_policy; ibm_database_instance_storage_encrypted; ibm_dynamodb_tables_kms_cmk_encryption_enabled; ibm_efs_encryption_at_rest_enabled; ibm_monitoring_log_group_kms_encryption_enabled; ibm_opensearch_service_domains_encryption_at_rest_enabled; ibm_sagemaker_notebook_instance_encryption_enabled; ibm_sns_topics_kms_encryption_at_rest_enabled; ibm_vsi_ebs_volume_encryption,alicloud_acm_certificates_expiration_check; alicloud_actiontrail_kms_encryption_enabled; alicloud_cloudmonitor_log_group_kms_encryption_enabled; alicloud_dynamodb_tables_kms_cmk_encryption_enabled; alicloud_ecs_ebs_volume_encryption; alicloud_efs_encryption_at_rest_enabled; alicloud_opensearch_service_domains_encryption_at_rest_enabled; alicloud_oss_bucket_default_encryption; alicloud_oss_bucket_secure_transport_policy; alicloud_rds_instance_storage_encrypted; alicloud_sagemaker_notebook_instance_encryption_enabled; alicloud_sns_topics_kms_encryption_at_rest_enabled,72
3_13_15,3_13_15: 3.13.15 Protect the authenticity of communications sessions,3.13 System and Communications Protection,SC,automated,aws_elb_ssl_listeners,azure_loadbalancer_ssl_listeners,gcp_compute_ssl_listeners,oracle_elb_ssl_listeners,ibm_elb_ssl_listeners,alicloud_elb_ssl_listeners,6
3_13_16,3_13_16: 3.13.16 Protect the confidentiality of CUI at rest,3.13 System and Communications Protection,SC,automated,aws_cloudtrail_kms_encryption_enabled; aws_cloudwatch_log_group_kms_encryption_enabled; aws_dynamodb_tables_kms_cmk_encryption_enabled; aws_ec2_ebs_volume_encryption; aws_efs_encryption_at_rest_enabled; aws_opensearch_service_domains_encryption_at_rest_enabled; aws_rds_instance_storage_encrypted; aws_s3_bucket_default_encryption; aws_s3_bucket_secure_transport_policy; aws_sagemaker_notebook_instance_encryption_enabled; aws_sns_topics_kms_encryption_at_rest_enabled,azure_monitor_kms_encryption_enabled; azure_monitor_log_group_kms_encryption_enabled; azure_cosmosdb_kms_cmk_encryption_enabled; azure_vm_disk_encryption; azure_files_encryption_at_rest_enabled; azure_search_service_domains_encryption_at_rest_enabled; azure_sql_database_storage_encrypted; azure_storage_blob_default_encryption; azure_storage_blob_secure_transport_policy; azure_ml_notebook_instance_encryption_enabled; azure_servicebus_topics_kms_encryption_at_rest_enabled,gcp_logging_kms_encryption_enabled; gcp_logging_log_group_kms_encryption_enabled; gcp_datastore_kms_cmk_encryption_enabled; gcp_compute_disk_encryption; gcp_filestore_encryption_at_rest_enabled; gcp_elasticsearch_service_domains_encryption_at_rest_enabled; gcp_sql_instance_storage_encrypted; gcp_storage_bucket_default_encryption; gcp_storage_bucket_secure_transport_policy; gcp_notebook_instance_encryption_enabled; gcp_pubsub_topics_kms_encryption_at_rest_enabled,oracle_audit_kms_encryption_enabled; oracle_compute_ebs_volume_encryption; oracle_database_instance_storage_encrypted; oracle_dynamodb_tables_kms_cmk_encryption_enabled; oracle_efs_encryption_at_rest_enabled; oracle_monitoring_log_group_kms_encryption_enabled; oracle_object_storage_bucket_default_encryption; oracle_object_storage_bucket_secure_transport_policy; oracle_opensearch_service_domains_encryption_at_rest_enabled; oracle_sagemaker_notebook_instance_encryption_enabled; oracle_sns_topics_kms_encryption_at_rest_enabled,ibm_activity_tracker_kms_encryption_enabled; ibm_cos_bucket_default_encryption; ibm_cos_bucket_secure_transport_policy; ibm_database_instance_storage_encrypted; ibm_dynamodb_tables_kms_cmk_encryption_enabled; ibm_efs_encryption_at_rest_enabled; ibm_monitoring_log_group_kms_encryption_enabled; ibm_opensearch_service_domains_encryption_at_rest_enabled; ibm_sagemaker_notebook_instance_encryption_enabled; ibm_sns_topics_kms_encryption_at_rest_enabled; ibm_vsi_ebs_volume_encryption,alicloud_actiontrail_kms_encryption_enabled; alicloud_cloudmonitor_log_group_kms_encryption_enabled; alicloud_dynamodb_tables_kms_cmk_encryption_enabled; alicloud_ecs_ebs_volume_encryption; alicloud_efs_encryption_at_rest_enabled; alicloud_opensearch_service_domains_encryption_at_rest_enabled; alicloud_oss_bucket_default_encryption; alicloud_oss_bucket_secure_transport_policy; alicloud_rds_instance_storage_encrypted; alicloud_sagemaker_notebook_instance_encryption_enabled; alicloud_sns_topics_kms_encryption_at_rest_enabled,66
3_13_2,"3_13_2: 3.13.2 Employ architectural designs, software development techniques, and systems engineering principles that promote effective information security within organizational systems",3.13 System and Communications Protection,SC,automated,aws_acm_certificates_expiration_check; aws_awslambda_function_not_publicly_accessible; aws_awslambda_function_url_public; aws_cloudtrail_multi_region_enabled; aws_dynamodb_tables_pitr_enabled; aws_ec2_ebs_public_snapshot; aws_ec2_instance_public_ip; aws_ec2_networkacl_allow_ingress_any_port; aws_ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22; aws_ec2_securitygroup_default_restrict_traffic; aws_efs_have_backup_enabled; aws_elbv2_deletion_protection; aws_emr_cluster_master_nodes_no_public_ip; aws_rds_instance_backup_enabled; aws_rds_instance_integration_cloudwatch_logs; aws_rds_instance_multi_az; aws_rds_instance_no_public_access; aws_redshift_cluster_public_access; aws_s3_account_level_public_access_blocks; aws_s3_bucket_policy_public_write_access; aws_s3_bucket_public_access; aws_sagemaker_notebook_instance_without_direct_internet_access_configured,azure_keyvault_certificates_expiration_check; azure_functions_function_not_publicly_accessible; azure_functions_function_url_public; azure_monitor_multi_region_enabled; azure_storage_tables_pitr_enabled; azure_vm_public_ip; azure_virtualnetwork_allow_ingress_any_port; azure_networksecuritygroup_allow_ingress_from_internet_to_tcp_port_22; azure_networksecuritygroup_default_restrict_traffic; azure_files_have_backup_enabled; azure_loadbalancer_deletion_protection; azure_hdinsight_cluster_master_nodes_no_public_ip; azure_sql_database_backup_enabled; azure_sql_database_integration_monitoring; azure_sql_database_multi_az; azure_sql_database_no_public_access; azure_synapse_cluster_public_access; azure_storage_account_level_public_access_blocks; azure_storage_blob_policy_public_write_access; azure_storage_blob_public_access; azure_ml_notebook_instance_without_direct_internet_access_configured,gcp_acm_certificates_expiration_check; gcp_cloudfunctions_function_not_publicly_accessible; gcp_cloudfunctions_function_url_public; gcp_logging_multi_region_enabled; gcp_datastore_tables_pitr_enabled; gcp_compute_instance_public_ip; gcp_compute_networkacl_allow_ingress_any_port; gcp_compute_firewall_allow_ingress_from_internet_to_tcp_port_22; gcp_compute_firewall_default_restrict_traffic; gcp_filestore_have_backup_enabled; gcp_loadbalancing_deletion_protection; gcp_dataproc_cluster_master_nodes_no_public_ip; gcp_sql_instance_backup_enabled; gcp_sql_instance_integration_logging; gcp_sql_instance_multi_az; gcp_sql_instance_no_public_access; gcp_bigquery_cluster_public_access; gcp_storage_account_level_public_access_blocks; gcp_storage_bucket_policy_public_write_access; gcp_storage_bucket_public_access; gcp_vertex_ai_notebook_instance_without_direct_internet_access_configured,oracle_acm_certificates_expiration_check; oracle_audit_multi_region_enabled; oracle_awslambda_function_not_publicly_accessible; oracle_awslambda_function_url_public; oracle_compute_ebs_public_snapshot; oracle_compute_instance_public_ip; oracle_compute_networkacl_allow_ingress_any_port; oracle_compute_securitygroup_allow_ingress_from_internet_to_tcp_port_22; oracle_compute_securitygroup_default_restrict_traffic; oracle_database_instance_backup_enabled; oracle_database_instance_integration_cloudwatch_logs; oracle_database_instance_multi_az; oracle_database_instance_no_public_access; oracle_dynamodb_tables_pitr_enabled; oracle_efs_have_backup_enabled; oracle_elbv2_deletion_protection; oracle_emr_cluster_master_nodes_no_public_ip; oracle_object_storage_account_level_public_access_blocks; oracle_object_storage_bucket_policy_public_write_access; oracle_object_storage_bucket_public_access; oracle_redshift_cluster_public_access; oracle_sagemaker_notebook_instance_without_direct_internet_access_configured,ibm_acm_certificates_expiration_check; ibm_activity_tracker_multi_region_enabled; ibm_awslambda_function_not_publicly_accessible; ibm_awslambda_function_url_public; ibm_cos_account_level_public_access_blocks; ibm_cos_bucket_policy_public_write_access; ibm_cos_bucket_public_access; ibm_database_instance_backup_enabled; ibm_database_instance_integration_cloudwatch_logs; ibm_database_instance_multi_az; ibm_database_instance_no_public_access; ibm_dynamodb_tables_pitr_enabled; ibm_efs_have_backup_enabled; ibm_elbv2_deletion_protection; ibm_emr_cluster_master_nodes_no_public_ip; ibm_redshift_cluster_public_access; ibm_sagemaker_notebook_instance_without_direct_internet_access_configured; ibm_vsi_ebs_public_snapshot; ibm_vsi_instance_public_ip; ibm_vsi_networkacl_allow_ingress_any_port; ibm_vsi_securitygroup_allow_ingress_from_internet_to_tcp_port_22; ibm_vsi_securitygroup_default_restrict_traffic,alicloud_acm_certificates_expiration_check; alicloud_actiontrail_multi_region_enabled; alicloud_awslambda_function_not_publicly_accessible; alicloud_awslambda_function_url_public; alicloud_dynamodb_tables_pitr_enabled; alicloud_ecs_ebs_public_snapshot; alicloud_ecs_instance_public_ip; alicloud_ecs_networkacl_allow_ingress_any_port; alicloud_ecs_securitygroup_allow_ingress_from_internet_to_tcp_port_22; alicloud_ecs_securitygroup_default_restrict_traffic; alicloud_efs_have_backup_enabled; alicloud_elbv2_deletion_protection; alicloud_emr_cluster_master_nodes_no_public_ip; alicloud_oss_account_level_public_access_blocks; alicloud_oss_bucket_policy_public_write_access; alicloud_oss_bucket_public_access; alicloud_rds_instance_backup_enabled; alicloud_rds_instance_integration_cloudwatch_logs; alicloud_rds_instance_multi_az; alicloud_rds_instance_no_public_access; alicloud_redshift_cluster_public_access; alicloud_sagemaker_notebook_instance_without_direct_internet_access_configured,130
3_13_3,3_13_3: 3.13.3 Separate user functionality from system management functionality,3.13 System and Communications Protection,SC,automated,aws_iam_aws_attached_policy_no_administrative_privileges; aws_iam_customer_attached_policy_no_administrative_privileges; aws_iam_inline_policy_no_administrative_privileges,azure_encryption_customer_attached_policy_no_administrative_privileges; azure_encryption_aws_attached_policy_no_administrative_privileges; azure_encryption_inline_policy_no_administrative_privileges,gcp_iam_customer_attached_policy_no_administrative_privileges; gcp_iam_aws_attached_policy_no_administrative_privileges; gcp_iam_inline_policy_no_administrative_privileges,oracle_identity_aws_attached_policy_no_administrative_privileges; oracle_identity_customer_attached_policy_no_administrative_privileges; oracle_identity_inline_policy_no_administrative_privileges,ibm_iam_aws_attached_policy_no_administrative_privileges; ibm_iam_customer_attached_policy_no_administrative_privileges; ibm_iam_inline_policy_no_administrative_privileges,alicloud_ram_aws_attached_policy_no_administrative_privileges; alicloud_ram_customer_attached_policy_no_administrative_privileges; alicloud_ram_inline_policy_no_administrative_privileges,18
3_13_4,3_13_4: 3.13.4 Prevent unauthorized and unintended information transfer via shared system resources,3.13 System and Communications Protection,SC,automated,aws_No checks defined,azure_monitor_enabled; azure_storage_encryption_enabled; azure_virtual_network_firewall_enabled,gcp_logging_enabled; gcp_storage_encryption_enabled; gcp_vpc_firewall_enabled,oracle_No checks defined,ibm_No checks defined,alicloud_No checks defined,10
