rule_id,provider,service,category,severity,title,description,check_type,complexity,frameworks,compliance_ids,source_file
aws.backup.recovery_points.encryption_enabled,aws,backup,recovery_points,HIGH,Check that AWS Backup recovery points are encrypted with a customer-managed key (CMK).,Check that AWS Backup recovery points are encrypted with a customer-managed key (CMK).,config,L1_API_BOOLEAN,CANADA_PBMM,CANADA_PBMM/CP-8(1),aws_rule_config/backup/aws.backup.recovery_points.encryption_enabled.yaml
aws.backup.recovery_points.minimum_count_configured,aws,backup,recovery_points,MEDIUM,Ensure a minimum number of recovery points exist for critical services.,Ensure a minimum number of recovery points exist for critical services.,config,L2_API_CONFIG,CANADA_PBMM,CANADA_PBMM/CP-8(3),aws_rule_config/backup/aws.backup.recovery_points.minimum_count_configured.yaml
aws.ec2.image.baseline_approved_enforced,aws,ec2,image,MEDIUM,Check that EC2 instances are launched from an approved baseline AMI.,Check that EC2 instances are launched from an approved baseline AMI.; Check that EC2 AMIs are from an approved baseline list.; (refined),config,L2_API_CONFIG,CANADA_PBMM,CANADA_PBMM/CM-2(3);CANADA_PBMM/CM-2(7),aws_rule_config/ec2/aws.ec2.image.baseline_approved_enforced.yaml
aws.ec2.image.scan_on_launch_configured,aws,ec2,image,MEDIUM,Check if EC2 instances are configured to use AMIs with vulnerability scanning enabled or require scanning via Systems Manager.,Check if EC2 instances are configured to use AMIs with vulnerability scanning enabled or require scanning via Systems Manager.; (refined),config,L2_API_CONFIG,NIST_800_171,NIST_800_171/3.14.5,aws_rule_config/ec2/aws.ec2.image.scan_on_launch_configured.yaml
aws.ec2.instance.antivirus_installed_configured,aws,ec2,instance,MEDIUM,Check if EC2 instances have an antivirus/anti-malware agent installed and running.,Check if EC2 instances have an antivirus/anti-malware agent installed and running.; Check if EC2 instances have antivirus/anti-malware agent installed,config,L5_NEEDS_AGENT,CANADA_PBMM,CANADA_PBMM/SI-3(1);CANADA_PBMM/SI-3(2);CANADA_PBMM/SI-3(7),aws_rule_config/ec2/aws.ec2.instance.antivirus_installed_configured.yaml
aws.ec2.instance.ebs_encryption_enabled,aws,ec2,instance,HIGH,Check that EC2 instances use EBS volumes with encryption enabled.,Check that EC2 instances use EBS volumes with encryption enabled.,config,L1_API_BOOLEAN,CANADA_PBMM,CANADA_PBMM/CA-8(1),aws_rule_config/ec2/aws.ec2.instance.ebs_encryption_enabled.yaml
aws.ec2.instance.maintenance_behavior_configured,aws,ec2,instance,MEDIUM,Check that EC2 instances are configured to stop/terminate rather than hibernate for non-local maintenance.,Check that EC2 instances are configured to stop/terminate rather than hibernate for non-local maintenance.,config,L2_API_CONFIG,CANADA_PBMM,CANADA_PBMM/MA-4(2),aws_rule_config/ec2/aws.ec2.instance.maintenance_behavior_configured.yaml
aws.ec2.instance.patch_management_configured,aws,ec2,instance,MEDIUM,Check that EC2 instances have automated patch management enabled via Systems Manager.,Check that EC2 instances have automated patch management enabled via Systems Manager.; Check that EC2 instances have patch management enabled via Syst,config,L5_NEEDS_AGENT,CANADA_PBMM,CANADA_PBMM/SI-2(2);CANADA_PBMM/SI-2(3),aws_rule_config/ec2/aws.ec2.instance.patch_management_configured.yaml
aws.ec2.instance.recovery_behavior_configured,aws,ec2,instance,MEDIUM,Check EC2 instances are configured for stop/terminate recovery via termination protection or Auto Scaling.,Check EC2 instances are configured for stop/terminate recovery via termination protection or Auto Scaling.; Check EC2 instances are configured for rec,config,L2_API_CONFIG,CANADA_PBMM,CANADA_PBMM/CP-2(4);CANADA_PBMM/CP-2(6),aws_rule_config/ec2/aws.ec2.instance.recovery_behavior_configured.yaml
aws.ec2.instance.recovery_instance_configured,aws,ec2,instance,MEDIUM,Check that EC2 instances are configured with recovery automation via AWS Systems Manager Automation documents.,Check that EC2 instances are configured with recovery automation via AWS Systems Manager Automation documents.,config,L2_API_CONFIG,CANADA_PBMM,CANADA_PBMM/CP-2(3);CANADA_PBMM/CP-2(5),aws_rule_config/ec2/aws.ec2.instance.recovery_instance_configured.yaml
