yaml_rule_id,yaml_service,yaml_resource_kind,domain,severity,scope,assertion_id,ai_match_rule_id,ai_confidence,ai_reasoning,csv_service,csv_category,csv_provider_service,aws_mapped_compliance_functions,aws_mapped_compliance_ids,top_candidate_pool,review_decision
aws.accessanalyzer.resource.access_analyzer_enabled,accessanalyzer,resource,configuration_and_change_management,medium,accessanalyzer.resource.configuration,security.configuration.accessanalyzer_resource_status_equals,aws.accessanalyzer.enabled,high,"Both rules check if AWS Access Analyzer is enabled, focusing on the same technical control for the same resource.",accessanalyzer,,"boto3.client(""accessanalyzer"")",aws.accessanalyzer.enabled,iso27001_2022_multi_cloud_A.8.3_0085,aws.accessanalyzer.enabled(0.333); aws.accessanalyzer.enabled_without_findings(0.2); aws.accessanalyzer.enabled_without_findings:nan(0.2); aws.accessanalyzer.enabled:nan(0.0),
aws.account.resource.security_contact_complete,account,resource,configuration_and_change_management,medium,account.resource.configuration,security.configuration.account_resource_security_contact_complete,aws.account.security_contact_info_completeness_check,high,Both rules focus on verifying the completeness of security contact information for AWS accounts.,account,,"boto3.client(""account"")",aws.account.security_contact_info_completeness_check,cis_aws_aws_1.2_0119,aws.account.security_contact_info_check(0.4); aws.account.security_contact_info_completeness_check(0.333); aws.account.security_contact_information_is_registered(0.333); aws.account.maintain_different_contact_details_to_security_billing_and_operations(0.2); aws.account.maintain_current_contact_details(0.167),
aws.acm.certificate.valid,acm,certificate,configuration_and_change_management,medium,acm.certificate.configuration,security.configuration.acm_certificate_valid,aws.acm.certificate.not_expired,high,"Both rules check ACM certificate validity, with 'valid' and 'not_expired' being synonymous for certificate status.",acm,secrets,"boto3.client(""acm"")",,,aws.acm.certificate.not_expired(0.25); aws.acm.certificate.trusted_issuer(0.25); aws.acm.certificates.expiration.check(0.25); acm.certificates.expiration.check(0.25); aws.acm.certificate.key_length_minimum(0.2),
aws.acm.privateca.ca_certificate_valid,acm,privateca,configuration_and_change_management,medium,acm.privateca.configuration,security.configuration.acm_privateca_ca_certificate_valid,aws.acm.private_ca.not_expired,medium,"Both rules focus on certificate validity for ACM Private CA, though the candidate specifies expiration while the config rule implies general validity.",acm,secrets,"boto3.client(""acm"")",,,aws.acm.certificate.not_expired(0.167); aws.acm.certificate.trusted_issuer(0.167); aws.acm.certificates.expiration.check(0.167); acm.certificates.expiration.check(0.167); aws.acm.private_ca.not_expired(0.143),
aws.apigateway.apikey.key_expiration_required,apigateway,apikey,configuration_and_change_management,medium,apigateway.apikey.configuration,security.configuration.apigateway_apikey_key_expiration_required,aws.api_gateway.api_key.expiration_required,high,Both rules check that API Gateway API keys have expiration dates configured.,api_gateway,platform,"boto3.client(""api_gateway"")",,,aws.api_gateway.api_key.expiration_required(0.6); aws.api_gateway.usage_plan.api_usage_plan_required_for_api_keys(0.25); aws.api_gateway.throttle.api_usage_plan_required_for_api_keys(0.222); aws.api_gateway.stage.require_usage_plan_for_api_keys(0.222); aws.api_gatewayv2.stage.api_usage_plan_required_for_api_keys(0.222),
aws.apigateway.authorizer.api_token_audience_restricted,apigateway,authorizer,configuration_and_change_management,medium,apigateway.authorizer.configuration,security.configuration.apigateway_authorizer_api_token_audience_restricted,aws.api_gateway.authorizer.token_audience_restricted,high,Both rules check that API Gateway authorizers restrict token audiences for security.,api_gateway,platform,"boto3.client(""api_gateway"")",,,aws.api_gateway.authorizer.token_audience_restricted(0.8); aws.apigateway.api_gateway_https_required(0.125); aws.apigateway.api_gateway_https_required:nan(0.125); aws.api_gateway.throttle.api_quota_limit_configured(0.125); aws.api_gateway.rest_api.authn_required(0.125),
aws.apigateway.authorizer.cache_ttl_configured,apigateway,authorizer,configuration_and_change_management,medium,apigateway.authorizer.configuration,security.configuration.apigateway_authorizer_cache_ttl_configured,aws.api_gateway.authorizer.cache_ttl_reasonable,high,Both rules check API Gateway authorizer cache TTL configuration with similar wording and intent.,api_gateway,platform,"boto3.client(""api_gateway"")",,,aws.api_gateway.authorizer.cache_ttl_reasonable(0.75); aws.apigateway.restapi_cache_encrypted(0.2); aws.apigateway.restapi_cache_encrypted:nan(0.2); aws.api_gateway.authorizer.token_audience_restricted(0.167); aws.api_gateway.authorizer.tls_min_1_2_enforced(0.125),
aws.apigateway.authorizer.tls_min_1_2_enforced,apigateway,authorizer,data_protection_and_privacy,high,apigateway.authorizer.encryption,data_protection.encryption_transit.apigateway_authorizer_tls_min_1_2_enforced,aws.api_gateway.authorizer.tls_min_1_2_enforced,high,"Candidate rule ID is identical in meaning and service scope to the config rule, both enforcing TLS 1.2 minimum for API Gateway authorizers.",api_gateway,platform,"boto3.client(""api_gateway"")",,,aws.api_gateway.authorizer.tls_min_1_2_enforced(1.0); aws.api_gateway.authorizer.token_audience_restricted(0.111); aws.api_gateway.authorizer.cache_ttl_reasonable(0.111); aws.api_gateway.rest_api.authz_policies_enforced(0.1); aws.api_gateway.v2_api.authz_policies_enforced(0.1),
aws.apigateway.requestvalidator.api_parameters_validation_enabled,apigateway,requestvalidator,configuration_and_change_management,medium,apigateway.requestvalidator.configuration,security.configuration.apigateway_requestvalidator_api_parameters_validation_enabled,aws.api_gateway.request_validator.api_parameters_validation_enabled,high,"The rule IDs are nearly identical, both targeting API Gateway request validator parameter validation.",api_gateway,api_security,"boto3.client(""api_gateway"")",,,aws.api_gateway.request_validator.api_parameters_validation_enabled(0.571); aws.api_gateway.request_validator.api_request_schema_validation_enabled(0.375); aws.api_gateway.request_validator.api_response_schema_validation_enabled(0.333); aws.apigatewayv2.api_access_logging_enabled(0.286); aws.api_gateway.stage.api_access_logging_enabled(0.25),
aws.apigateway.requestvalidator.api_request_schema_validation_enabled,apigateway,requestvalidator,application_and_api_security,high,apigateway.requestvalidator.validation,api_security.validation.request_validation_enabled,aws.api_gateway.request_validator.api_request_schema_validation_enabled,high,Both rules check for request schema validation enabled on API Gateway request validators with identical technical control intent.,api_gateway,api_security,"boto3.client(""api_gateway"")",,,aws.api_gateway.request_validator.api_request_schema_validation_enabled(0.714); aws.api_gateway.request_validator.api_response_schema_validation_enabled(0.625); aws.api_gateway.request_validator.api_parameters_validation_enabled(0.5); aws.apigatewayv2.api_access_logging_enabled(0.25); aws.api_gateway.stage.api_access_logging_enabled(0.222),
