rule_id,provider,service,category,severity,title,description,check_type,threat_category,mitre_tactics,mitre_techniques,risk_score,domain,action_category,posture_category,source_file
ibm.ciem.chain.data_exfiltration_via_cos,ibm,ciem,ciem,critical,IBM CIEM: Data Exfiltration via COS Bucket Public Access,"Detect a data exfiltration pattern: COS bucket made public or policy changed → bulk object access from unexpected source, indicating unauthorized data retrieval.",log_correlation,data_exfiltration,exfiltration,T1530,97,data_protection_and_privacy,exfiltration,data_security_posture,ibm_rule_ciem/ciem/ibm.ciem.chain.data_exfiltration_via_cos.yaml
ibm.ciem.chain.defense_evasion_log_destroy,ibm,ciem,ciem,critical,IBM CIEM: Defense Evasion via Activity Tracker Deletion + MFA Disable,"Detect an evidence destruction chain: Activity Tracker instance deleted + MFA settings weakened within a short window, indicating an attacker removing audit visibility and weakening authentication.",log_correlation,defense_evasion,defense_evasion,T1562,99,logging_monitoring_and_alerting,modify,security_posture,ibm_rule_ciem/ciem/ibm.ciem.chain.defense_evasion_log_destroy.yaml
ibm.ciem.chain.privilege_escalation_via_trusted_profile,ibm,ciem,ciem,critical,IBM CIEM: Privilege Escalation via Trusted Profile + IAM Policy Change,"Detect IBM Cloud privilege escalation: trusted profile created/modified → IAM policy granting Administrator role → privileged API calls, indicating a multi-step takeover.",log_correlation,privilege_escalation,privilege_escalation,T1548,98,identity_and_access_management,privilege_escalation,iam_posture,ibm_rule_ciem/ciem/ibm.ciem.chain.privilege_escalation_via_trusted_profile.yaml
ibm.cos.activity.bucket_change,ibm,cos,cos,high,IBM COS: Object Storage Bucket Configuration Changed,An Object Storage bucket ACL or configuration was modified. Changes may expose data publicly or remove encryption/versioning protections.,log,data_exfiltration,exfiltration,T1530,78,data_protection_and_privacy,modify,data_security_posture,ibm_rule_ciem/cos/ibm.cos.activity.bucket_change.yaml
ibm.cos.activity.bucket_created_public,ibm,cos,cos,critical,IBM COS: Object Storage Bucket Created with Public Access,An IBM Cloud Object Storage bucket was created with public access enabled. Public buckets expose all stored objects to the internet.,log,data_exfiltration,exfiltration,T1530,97,data_protection_and_privacy,create,data_security_posture,ibm_rule_ciem/cos/ibm.cos.activity.bucket_created_public.yaml
ibm.cos.activity.bucket_deleted,ibm,cos,cos,high,IBM COS: Object Storage Bucket Deleted,An IBM COS bucket was deleted. Bucket deletion is irreversible and results in permanent data loss for all stored objects.,log,impact,impact,T1485,85,impact,delete,workload_posture,ibm_rule_ciem/cos/ibm.cos.activity.bucket_deleted.yaml
ibm.cos.activity.bucket_policy_change,ibm,cos,cos,high,IBM COS: Object Storage Bucket Policy Changed,An Object Storage bucket IAM policy was modified. Policy changes may grant cross-account access to sensitive data.,log,data_exfiltration,exfiltration,T1530,82,data_protection_and_privacy,modify,data_security_posture,ibm_rule_ciem/cos/ibm.cos.activity.bucket_policy_change.yaml
ibm.cos.activity.hmac_key_created,ibm,cos,cos,high,IBM COS: HMAC Key Created for Service Credential,An HMAC key was created for IBM COS S3-compatible access. HMAC keys are long-lived credentials that can be exported and used to access all objects in authorized buckets.,log,credential_access,credential_access,T1552,76,identity_and_access_management,create,iam_posture,ibm_rule_ciem/cos/ibm.cos.activity.hmac_key_created.yaml
ibm.db.activity.audit_config_change,ibm,db,db,high,IBM DB Audit: Audit Configuration Changed,Database audit configuration was modified. Disabling audit policies removes forensic evidence of future database activity.,log,defense_evasion,defense_evasion,T1562,80,logging_monitoring_and_alerting,modify,security_posture,ibm_rule_ciem/db/ibm.db.activity.audit_config_change.yaml
ibm.db.activity.db_admin_activity,ibm,db,db,high,IBM DB Audit: Privileged Admin Activity,Privileged database admin activity was recorded in IBM DB audit logs. Unauthorized admin operations can exfiltrate data or modify database schema.,log,privilege_escalation,privilege_escalation,T1078,80,identity_and_access_management,privilege_escalation,iam_posture,ibm_rule_ciem/db/ibm.db.activity.db_admin_activity.yaml
ibm.db.activity.db_failed_login,ibm,db,db,medium,IBM DB Audit: Failed Database Login,"Multiple failed login attempts were recorded in IBM database audit logs, indicating potential brute force.",log,credential_access,credential_access,T1110,68,identity_and_access_management,read,iam_posture,ibm_rule_ciem/db/ibm.db.activity.db_failed_login.yaml
ibm.db.activity.db_schema_change,ibm,db,db,high,IBM DB Audit: DDL Schema Change,"A DDL statement (DROP TABLE, ALTER TABLE, TRUNCATE) was executed in an IBM database. Unauthorized schema changes destroy data or bypass security controls.",log,impact,impact,T1485,82,impact,modify,workload_posture,ibm_rule_ciem/db/ibm.db.activity.db_schema_change.yaml
ibm.db.activity.instance_deleted,ibm,db,db,critical,IBM Databases: Service Instance Deleted,"An IBM Cloud database service instance (PostgreSQL, MySQL, Db2, Redis, etc.) was deleted. Instance deletion results in permanent data loss.",log,impact,impact,T1485,95,impact,delete,workload_posture,ibm_rule_ciem/db/ibm.db.activity.instance_deleted.yaml
ibm.db.activity.user_management,ibm,db,db,high,IBM DB Audit: Database User Created or Privilege Granted,A new database user was created or DBA privileges were granted. Unauthorized user creation enables persistent database access.,log,persistence,persistence,T1136,78,identity_and_access_management,create,iam_posture,ibm_rule_ciem/db/ibm.db.activity.user_management.yaml
ibm.iam.activity.access_group_change,ibm,iam,iam,high,IBM IAM: Access Group Modified,"An IAM access group was created, modified, or a member was added. Access groups aggregate policies; unauthorized additions grant attackers all group permissions.",log,privilege_escalation,privilege_escalation,T1098,82,identity_and_access_management,modify,iam_posture,ibm_rule_ciem/iam/ibm.iam.activity.access_group_change.yaml
ibm.iam.activity.account_settings_change,ibm,iam,iam,high,IBM IAM: Account Settings Changed,"Global IBM Cloud account security settings were changed (e.g., restrict API key creation, session timeout, IP address restrictions).",log,defense_evasion,defense_evasion,T1562,80,logging_monitoring_and_alerting,modify,security_posture,ibm_rule_ciem/iam/ibm.iam.activity.account_settings_change.yaml
ibm.iam.activity.api_key_created,ibm,iam,iam,high,IBM IAM: API Key Created,An IBM Cloud API key was created for a user or service ID. API keys are long-lived credentials that provide programmatic access to all IBM Cloud services the identity has access to.,log,credential_access,credential_access,T1552,78,identity_and_access_management,create,iam_posture,ibm_rule_ciem/iam/ibm.iam.activity.api_key_created.yaml
ibm.iam.activity.api_key_deleted,ibm,iam,iam,medium,IBM IAM: API Key Deleted,An IBM Cloud API key was deleted. Attackers may delete keys to cover tracks after rotating to newly created credentials.,log,defense_evasion,defense_evasion,T1070,60,logging_monitoring_and_alerting,delete,security_posture,ibm_rule_ciem/iam/ibm.iam.activity.api_key_deleted.yaml
ibm.iam.activity.mfa_settings_change,ibm,iam,iam,critical,IBM IAM: MFA Settings Changed,Multi-factor authentication settings were modified for the IBM Cloud account. Disabling MFA removes a critical account takeover protection.,log,defense_evasion,defense_evasion;initial_access,T1556,93,logging_monitoring_and_alerting,modify,security_posture,ibm_rule_ciem/iam/ibm.iam.activity.mfa_settings_change.yaml
ibm.iam.activity.policy_change,ibm,iam,iam,critical,IBM IAM: IAM Policy Modified,An IAM access policy was updated. Policy modifications expanding roles (Reader → Administrator) on critical services constitute privilege escalation.,log,privilege_escalation,privilege_escalation,T1548,90,identity_and_access_management,modify,iam_posture,ibm_rule_ciem/iam/ibm.iam.activity.policy_change.yaml
ibm.iam.activity.policy_created,ibm,iam,iam,critical,IBM IAM: IAM Policy Created,A new IAM access policy was created. Policies granting Administrator or Editor roles on sensitive services or all resources enable privilege escalation.,log,privilege_escalation,privilege_escalation,T1548,88,identity_and_access_management,create,iam_posture,ibm_rule_ciem/iam/ibm.iam.activity.policy_created.yaml
ibm.iam.activity.service_id_created,ibm,iam,iam,high,IBM IAM: Service ID Created,A new IBM Cloud Service ID was created. Service IDs can be assigned policies to access IBM Cloud services programmatically and should be monitored for unauthorized creation.,log,persistence,persistence,T1136,74,identity_and_access_management,create,iam_posture,ibm_rule_ciem/iam/ibm.iam.activity.service_id_created.yaml
