framework,control_id,title,csp_column,or_group_count,classification,classify_reason,current_cell,proposed_cell
CANADA_PBMM,CCCS AC-17,CCCS AC-17: Remote Access,aws_checks,10,AND_REQUIRED,NIST family (CCCS AC),aws.ec2.ebs.public_snapshot_configured;aws.ec2.instance.no_public_ip_configured;aws.emr.cluster.master_nodes_no_public_ip_configured;aws.lambda.function.not_publicly_accessible_configured;aws.lambda.function.url_public_configured;aws.rds.instance.no_public_access_configured;aws.rds.snapshots.public_,aws.ec2.ebs.public_snapshot_configured+aws.ec2.instance.no_public_ip_configured+aws.emr.cluster.master_nodes_no_public_ip_configured+aws.lambda.function.not_publicly_accessible_configured+aws.lambda.function.url_public_configured+aws.rds.instance.no_public_access_configured+aws.rds.snapshots.public_
CANADA_PBMM,CCCS AC-17,CCCS AC-17: Remote Access,azure_checks,11,AND_REQUIRED,NIST family (CCCS AC),azure.compute.disk.snapshots_not_public;azure.compute.virtual_machine.vm_no_public_ip_assigned;azure.hdinsight.cluster.master_nodes_no_public_ip;azure.function.app.function_url_authentication;azure.functions.app.url_public;azure.sql.database.no_public_access;azure.sql.database.snapshots_public_acces,azure.compute.disk.snapshots_not_public+azure.compute.virtual_machine.vm_no_public_ip_assigned+azure.hdinsight.cluster.master_nodes_no_public_ip+azure.function.app.function_url_authentication+azure.functions.app.url_public+azure.sql.database.no_public_access+azure.sql.database.snapshots_public_acces
CANADA_PBMM,CCCS AC-17,CCCS AC-17: Remote Access,gcp_checks,9,AND_REQUIRED,NIST family (CCCS AC),gcp.compute.disk.disk_snapshots_not_public;gcp.compute.instance.instance_no_public_ip_unless_required;gcp.dataproc.cluster.cluster_private_networking_enforced;gcp.data_access.public_object_access;gcp.sql.instance.instance_public_access_disabled;gcp.sql.database_instance.db_public_access_disabled;gcp,gcp.compute.disk.disk_snapshots_not_public+gcp.compute.instance.instance_no_public_ip_unless_required+gcp.dataproc.cluster.cluster_private_networking_enforced+gcp.data_access.public_object_access+gcp.sql.instance.instance_public_access_disabled+gcp.sql.database_instance.db_public_access_disabled+gcp
CANADA_PBMM,CCCS AC-17,CCCS AC-17: Remote Access,oracle_checks,11,AND_REQUIRED,NIST family (CCCS AC),oci.compute.ebs.public_snapshot;oci.compute.instance.instance_no_public_ip;oci.bds.bds_instance.cluster_master_nodes_no_public_ip;oci.functions.application.function_public_access_blocked;oci.functions.application.function_restrict_public_access;oci.functions.application.function_url_public;oci.datab,oci.compute.ebs.public_snapshot+oci.compute.instance.instance_no_public_ip+oci.bds.bds_instance.cluster_master_nodes_no_public_ip+oci.functions.application.function_public_access_blocked+oci.functions.application.function_restrict_public_access+oci.functions.application.function_url_public+oci.datab
CANADA_PBMM,CCCS AC-17,CCCS AC-17: Remote Access,ibm_checks,8,AND_REQUIRED,NIST family (CCCS AC),ibm.vpc.instance.no_public_ip_address;ibm.object_storage.bucket.no_public_access;ibm.databases.deployment.private_endpoint_only;ibm.databases.deployment.ip_allowlist_configured;ibm.containers.cluster.public_endpoint_disabled;ibm.cos.activity.bucket_created_public;ibm.vsi.block_storage.public_snapsho,ibm.vpc.instance.no_public_ip_address+ibm.object_storage.bucket.no_public_access+ibm.databases.deployment.private_endpoint_only+ibm.databases.deployment.ip_allowlist_configured+ibm.containers.cluster.public_endpoint_disabled+ibm.cos.activity.bucket_created_public+ibm.vsi.block_storage.public_snapsho
CANADA_PBMM,CCCS AC-17,CCCS AC-17: Remote Access,alicloud_checks,9,AND_REQUIRED,NIST family (CCCS AC),alicloud.ecs.ebs.public_snapshot;alicloud.ecs.instance.no_public_ip_assigned;alicloud.emr.cluster.master_nodes_public_ip_disabled;alicloud.fc.compute.function_not_publicly_accessible;alicloud.fc.compute.function_url_public;alicloud.apsaradb.rds_instance.instance_public_access_disabled;alicloud.analy,alicloud.ecs.ebs.public_snapshot+alicloud.ecs.instance.no_public_ip_assigned+alicloud.emr.cluster.master_nodes_public_ip_disabled+alicloud.fc.compute.function_not_publicly_accessible+alicloud.fc.compute.function_url_public+alicloud.apsaradb.rds_instance.instance_public_access_disabled+alicloud.analy
CANADA_PBMM,CCCS AC-2,CCCS AC-2: Account Management,aws_checks,2,AND_REQUIRED,NIST family (CCCS AC),aws.iam.user.accesskey_unused_configured;aws.iam.user.console_access_unused_configured,aws.iam.user.accesskey_unused_configured+aws.iam.user.console_access_unused_configured
CANADA_PBMM,CCCS AC-2,CCCS AC-2: Account Management,azure_checks,2,AND_REQUIRED,NIST family (CCCS AC),azure.aad.user.access_user_in90_days_disabled;azure.entra.user.unused_credentials_configured,azure.aad.user.access_user_in90_days_disabled+azure.entra.user.unused_credentials_configured
CANADA_PBMM,CCCS AC-2,CCCS AC-2: Account Management,gcp_checks,2,AND_REQUIRED,NIST family (CCCS AC),gcp.iam.service_account.service_account_no_user_managed_long_lived_keys;gcp.cloudidentity.user.user_console_password_present_only_if_required,gcp.iam.service_account.service_account_no_user_managed_long_lived_keys+gcp.cloudidentity.user.user_console_password_present_only_if_required
CANADA_PBMM,CCCS AC-2,CCCS AC-2: Account Management,oracle_checks,2,AND_REQUIRED,NIST family (CCCS AC),oci.identity.user.user_accesskey_unused;oci.identity.user.user_console_access_unused,oci.identity.user.user_accesskey_unused+oci.identity.user.user_console_access_unused
CANADA_PBMM,CCCS AC-2,CCCS AC-2: Account Management,alicloud_checks,2,AND_REQUIRED,NIST family (CCCS AC),alicloud.ram.user.unused_credentials_configured;alicloud.ram.user.console_access_unused_disabled,alicloud.ram.user.unused_credentials_configured+alicloud.ram.user.console_access_unused_disabled
CANADA_PBMM,CCCS AC-20,CCCS AC-20: Use of External Systems,aws_checks,2,AND_REQUIRED,NIST family (CCCS AC),aws.iam.role.trust_external_id_or_audience_required;aws.iam.resource.access_analyzer_external_all_regions_configured,aws.iam.role.trust_external_id_or_audience_required+aws.iam.resource.access_analyzer_external_all_regions_configured
CANADA_PBMM,CCCS AC-5,CCCS AC-5: Separation of Duties,aws_checks,3,AND_REQUIRED,NIST family (CCCS AC),aws.iam.aws.attached_policy_no_administrative_privileges_configured;aws.iam.customer.attached_policy_no_administrative_privileges_configured;aws.iam.inline.policy_no_administrative_privileges_configured,aws.iam.aws.attached_policy_no_administrative_privileges_configured+aws.iam.customer.attached_policy_no_administrative_privileges_configured+aws.iam.inline.policy_no_administrative_privileges_configured
CANADA_PBMM,CCCS AC-5,CCCS AC-5: Separation of Duties,gcp_checks,2,AND_REQUIRED,NIST family (CCCS AC),gcp.iam.policy.rbac_policy_no_action_star_on_resource_star;gcp.iam.role.role_no_inline_policies,gcp.iam.policy.rbac_policy_no_action_star_on_resource_star+gcp.iam.role.role_no_inline_policies
