Control_ID,Section,Title,Description,Category,Applicability,Requirements
1.1,1. IT Governance,Board Approved IT Strategy,NBFCs with asset size of ₹ 500 crore and above shall have a Board approved IT Strategy aligned with their business strategy,IT Governance,NBFCs with asset size ≥ ₹ 500 crore,IT Strategy aligned with business strategy; Reviewed periodically; Updated as per business changes
1.2,1. IT Governance,IT Strategy Committee of the Board,NBFCs shall constitute an IT Strategy Committee of the Board (ITSC) comprising at least two members of the Board,IT Governance,NBFCs with asset size ≥ ₹ 500 crore,At least two Board members; One member with adequate technology expertise; CIO as permanent invitee; Meets at least once every quarter
1.3,1. IT Governance,Chief Information Officer (CIO),NBFCs shall designate a senior level official as Chief Information Officer,IT Governance,NBFCs with asset size ≥ ₹ 500 crore,Senior level official as CIO; Direct reporting to MD/CEO; Part of Top Management; Adequate authority and reporting structure
1.4,1. IT Governance,Chief Information Security Officer (CISO),NBFCs shall designate a senior level official as CISO separate from the CIO,IT Governance,NBFCs with asset size ≥ ₹ 500 crore,Separate from CIO; Adequate independence and authority; Responsible for information security function
2.1,2. Information and Cyber Security,Information Security Policy,NBFCs shall have a comprehensive Information Security Policy duly approved by the Board,Information Security,All NBFCs,Board approved policy; Cover all aspects of information security; Reviewed at least once every year; Updated to address emerging threats
2.2,2. Information and Cyber Security,Cyber Security Policy,"NBFCs shall frame a Cyber Security Policy covering detection, containment, prevention and recovery from cyber incidents",Information Security,All NBFCs,Detection mechanisms; Incident response procedures; Recovery plans; Preventive measures
2.3,2. Information and Cyber Security,Cyber Crisis Management Plan,NBFCs shall formulate a Cyber Crisis Management Plan approved by the Board,Information Security,NBFCs with asset size ≥ ₹ 500 crore,Board approved plan; Incident response procedures; Communication protocols; Recovery strategies
2.4,2. Information and Cyber Security,Cyber Incident Reporting to RBI,NBFCs shall report significant cyber incidents to RBI immediately,Information Security,All NBFCs,Immediate reporting to RBI; Detailed incident information; Impact assessment; Remediation actions
2.5,2. Information and Cyber Security,Access Control,NBFCs shall implement stringent access control mechanisms,Information Security,All NBFCs,User authentication mechanisms; Role-based access control; Privileged access management; Regular access reviews
2.6,2. Information and Cyber Security,Patch Management,NBFCs shall have a documented patch management policy,Information Security,All NBFCs,Timely patching of systems; Testing before deployment; Critical patches applied urgently; Documentation of patch status
