rule_id,provider,service,category,severity,title,description,check_type,complexity,threat_category,mitre_tactics,mitre_techniques,risk_score,domain,action_category,posture_category,frameworks,compliance_ids,source_file
oci.announcements.audit.create_broadcast,oracle,announcements,audit,MEDIUM,Monitor security list modifications for VoIP protocols and announcement service broadcast creation,Monitor security list modifications for VoIP protocols and announcement service broadcast creation,log,L6_CIEM_EVENT,persistence,persistence,T1098,55,logging_monitoring_and_alerting,create,security_posture,NIST_800_171,NIST_800_171/3.13.14,oracle_rule_ciem/announcements/oci.announcements.audit.create_broadcast.yaml
oci.audit.chain.auth_replay_pattern,oracle,audit,chain,HIGH,Detect replay attempts in identity audit logs and patterns of authentication events suggesting credential replay.,Detect replay attempts in identity audit logs and patterns of authentication events suggesting credential replay.,log_correlation,L7_CIEM_CHAIN,reconnaissance,discovery,T1580,75,logging_monitoring_and_alerting,read,security_posture,NIST_800_171,NIST_800_171/3.5.4,oracle_rule_ciem/audit/oci.audit.chain.auth_replay_pattern.yaml
oci.compute.activity_log.auditd_stop,oracle,compute,activity_log,MEDIUM,Detect Compute instance auditd process termination and OS Management commands that disable auditd logging,Detect Compute instance auditd process termination and OS Management commands that disable auditd logging,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,55,logging_monitoring_and_alerting,delete,security_posture,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,oracle_rule_ciem/compute/oci.compute.activity_log.auditd_stop.yaml
oci.compute.activity_log.update_instance,oracle,compute,activity_log,MEDIUM,"Detect modifications to compute instance metadata (e.g., time settings) or audit configuration changes that could impact time-sync integrity.","Detect modifications to compute instance metadata (e.g., time settings) or audit configuration changes that could impact time-sync integrity.",log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,55,security_posture,modify,security_posture,PCI_DSS,PCI_DSS/10.6.1,oracle_rule_ciem/compute/oci.compute.activity_log.update_instance.yaml
oci.compute.audit.disable_scanning_agent,oracle,compute,audit,HIGH,"Detect stopping or removal of OCI vulnerability scanning agents, and chained actions to tamper with malware scanning.","Detect stopping or removal of OCI vulnerability scanning agents, and chained actions to tamper with malware scanning.; Detect stopping OCI Scanning Ag",log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,75,logging_monitoring_and_alerting,delete,security_posture,CANADA_PBMM,CANADA_PBMM/SI-3(2);CANADA_PBMM/SI-3(7),oracle_rule_ciem/compute/oci.compute.audit.disable_scanning_agent.yaml
oci.compute.audit.launch_instance_without_trusted_platform,oracle,compute,audit,MEDIUM,Detect instance configuration updates disabling trusted platform module or instance launches without trusted computing.,Detect instance configuration updates disabling trusted platform module or instance launches without trusted computing.,log,L6_CIEM_EVENT,persistence,persistence,T1098,55,logging_monitoring_and_alerting,create,security_posture,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,oracle_rule_ciem/compute/oci.compute.audit.launch_instance_without_trusted_platform.yaml
oci.compute.audit.nested_virtualization_flag,oracle,compute,audit,MEDIUM,Detect instance launches with nested virtualization enabled or configuration changes that permit nested virtualization.,Detect instance launches with nested virtualization enabled or configuration changes that permit nested virtualization.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,oracle_rule_ciem/compute/oci.compute.audit.nested_virtualization_flag.yaml
oci.compute.audit.patch_override,oracle,compute,audit,MEDIUM,Detect compute instance patch management overrides or OS Management service command chains that bypass updates.,Detect compute instance patch management overrides or OS Management service command chains that bypass updates.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,oracle_rule_ciem/compute/oci.compute.audit.patch_override.yaml
oci.compute.chain.remove_agent,oracle,compute,chain,HIGH,Detect disabling of Vulnerability Scanning service or removal of the Oracle Cloud Agent from compute instances.,Detect disabling of Vulnerability Scanning service or removal of the Oracle Cloud Agent from compute instances.,log_correlation,L7_CIEM_CHAIN,reconnaissance,discovery,T1580,75,security_posture,read,security_posture,CANADA_PBMM,CANADA_PBMM/SI-3(1),oracle_rule_ciem/compute/oci.compute.chain.remove_agent.yaml
oci.compute.chain.session_persistence,oracle,compute,chain,HIGH,Detect authentication policy weakening and persistent compute instance sessions evading lock.,Detect authentication policy weakening and persistent compute instance sessions evading lock.,log_correlation,L7_CIEM_CHAIN,reconnaissance,discovery,T1580,75,security_posture,read,security_posture,NIST_800_171,NIST_800_171/3.1.10,oracle_rule_ciem/compute/oci.compute.chain.session_persistence.yaml
oci.events.audit.disable_vulnerability_scanning,oracle,events,audit,HIGH,Detect disabling of Vulnerability Scanning service or removal of the Oracle Cloud Agent from compute instances.,Detect disabling of Vulnerability Scanning service or removal of the Oracle Cloud Agent from compute instances.,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,75,logging_monitoring_and_alerting,delete,security_posture,CANADA_PBMM,CANADA_PBMM/SI-3(1),oracle_rule_ciem/events/oci.events.audit.disable_vulnerability_scanning.yaml
oci.events.chain.agent_stop_and_tag,oracle,events,chain,HIGH,Detect stopping OCI Scanning Agent or stopping agent and tagging resource to bypass policies,Detect stopping OCI Scanning Agent or stopping agent and tagging resource to bypass policies,log_correlation,L7_CIEM_CHAIN,defense_evasion,defense_evasion,T1562,75,security_posture,delete,security_posture,CANADA_PBMM,CANADA_PBMM/SI-3(2),oracle_rule_ciem/events/oci.events.chain.agent_stop_and_tag.yaml
oci.functions.audit.create_function,oracle,functions,audit,MEDIUM,"Track creation and updates of Oracle Functions, which can execute user-supplied mobile code.","Track creation and updates of Oracle Functions, which can execute user-supplied mobile code.",log,L6_CIEM_EVENT,persistence,persistence,T1098,55,logging_monitoring_and_alerting,create,security_posture,NIST_800_171,NIST_800_171/3.13.13,oracle_rule_ciem/functions/oci.functions.audit.create_function.yaml
oci.iam.audit.admin_bypass,oracle,iam,audit,HIGH,Detect audit log retention policy violations and administrative bypass attempts,Detect audit log retention policy violations and administrative bypass attempts,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,75,identity_and_access_management,delete,security_posture,PCI_DSS,PCI_DSS/10.2.2,oracle_rule_ciem/iam/oci.iam.audit.admin_bypass.yaml
