rule_id,provider,service,category,rule_type,complexity,severity,controls_unlocked,frameworks_unlocked,framework_sample,check_type,threat_category,mitre_tactics,mitre_techniques,risk_score,domain,title,description,frameworks,compliance_ids,source_file
gcp.securitycenter.scc.is_enabled,gcp,securitycenter,scc,config,L1_API_BOOLEAN,MEDIUM,112,6,CANADA_PBMM;CISA_CE;CIS_OCI;FedRAMP_Moderate;NIST_800_53,config,,,,,,(refined),(refined),CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,gcp_rule_config/securitycenter/gcp.securitycenter.scc.is_enabled.yaml
alicloud.ram.password.policy_minimum_length_check,alicloud,ram,password,config,L2_API_CONFIG,MEDIUM,92,8,CANADA_PBMM;CIS_ALICLOUD;FedRAMP_Moderate;GDPR;HIPAA,config,,,,,,Ensure RAM password policy requires minimum length of 14  or greater,Ensure RAM password policy requires minimum length of 14  or greater,CIS_ALICLOUD,CIS_ALICLOUD/1.11,alicloud_rule_config/ram/alicloud.ram.password.policy_minimum_length_check.yaml
ibm.iam.account.password_policy_minimum_length_configured,ibm,iam,account,config,L2_API_CONFIG,MEDIUM,90,7,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;ISO27001_2022,config,,,,,,(refined),(refined),CANADA_PBMM,CANADA_PBMM/AC-2(10);CANADA_PBMM/AC-2(2),ibm_rule_config/iam/ibm.iam.account.password_policy_minimum_length_configured.yaml
ibm.activity_tracker.log_file_validation_enabled,ibm,activity_tracker,log_file_validation_enabled,config,L1_API_BOOLEAN,MEDIUM,87,11,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;ISO27001_2022,config,,,,,,164_308_a_1_ii_b: 164.308(a)(1)(ii)(B) Risk Management,164_308_a_1_ii_b: 164.308(a)(1)(ii)(B) Risk Management,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;ISO27001_2022;NIST_800_171;NIST_800_53;PCI_DSS;RBI_BANK;RBI_NBFC;SOC2,canada_pbmm_moderate_CCCS_AU_9;canada_pbmm_moderate_CCCS_CM_6;canada_pbmm_moderate_CCCS_CM_9;canada_pbmm_moderate_CCCS_SI_4;fedramp_moderate_AU_9;...(+46 more),ibm_rule_config/activity_tracker/ibm.activity_tracker.log_file_validation_enabled.yaml
ibm.activity_tracker.multi_region_enabled,ibm,activity_tracker,multi_region_enabled,config,L1_API_BOOLEAN,MEDIUM,79,11,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;ISO27001_2022,config,,,,,,164_308_a_1_ii_d: 164.308(a)(1)(ii)(D) Information system activity review,164_308_a_1_ii_d: 164.308(a)(1)(ii)(D) Information system activity review,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;ISO27001_2022;NIST_800_171;NIST_800_53;PCI_DSS;RBI_BANK;RBI_NBFC;SOC2,canada_pbmm_moderate_CCCS_AU_12;canada_pbmm_moderate_CCCS_AU_2;canada_pbmm_moderate_CCCS_AU_3;canada_pbmm_moderate_CCCS_AU_8;canada_pbmm_moderate_CCCS_CA_7;...(+89 more),ibm_rule_config/activity_tracker/ibm.activity_tracker.multi_region_enabled.yaml
alicloud.securitycenter.service.is_activated_check,alicloud,securitycenter,service,config,L2_API_CONFIG,MEDIUM,79,3,CIS_OCI;FedRAMP_Moderate;NIST_800_53,config,,,,,,(refined),(refined),CIS_ALICLOUD,CIS_ALICLOUD/6.6.2,alicloud_rule_config/securitycenter/alicloud.securitycenter.service.is_activated_check.yaml
ibm.vsi.block_storage.public_snapshot_enabled,ibm,vsi,block_storage,config,L1_API_BOOLEAN,MEDIUM,75,8,CANADA_PBMM;FedRAMP_Moderate;HIPAA;ISO27001_2022;NIST_800_171,config,,,,,,164_308_a_1_ii_b: 164.308(a)(1)(ii)(B) Risk Management,164_308_a_1_ii_b: 164.308(a)(1)(ii)(B) Risk Management,HIPAA;ISO27001_2022;NIST_800_171;SOC2,hipaa_164_308_a_1_ii_b;hipaa_164_308_a_3_i;hipaa_164_312_a_1;iso27001_2022_A.12.6;iso27001_2022_A.13.1;...(+9 more),ibm_rule_config/vsi/ibm.vsi.block_storage.public_snapshot_enabled.yaml
ibm.activity_tracker.cos_dataevents_read_enabled,ibm,activity_tracker,cos_dataevents_read_enabled,config,L1_API_BOOLEAN,MEDIUM,72,8,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;NIST_800_171,config,,,,,,"CC2.1 COSO Principle 13: The entity obtains or generates and uses relevant, qual","CC2.1 COSO Principle 13: The entity obtains or generates and uses relevant, qual",SOC2,soc2_cc_2_1;soc2_cc_7_2,ibm_rule_config/activity_tracker/ibm.activity_tracker.cos_dataevents_read_enabled.yaml
ibm.activity_tracker.cos_dataevents_write_enabled,ibm,activity_tracker,cos_dataevents_write_enabled,config,L1_API_BOOLEAN,MEDIUM,64,7,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;NIST_800_171,config,,,,,,164_308_a_1_ii_d: 164.308(a)(1)(ii)(D) Information system activity review,164_308_a_1_ii_d: 164.308(a)(1)(ii)(D) Information system activity review,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;NIST_800_171;NIST_800_53;PCI_DSS,canada_pbmm_moderate_CCCS_AU_12;canada_pbmm_moderate_CCCS_AU_2;canada_pbmm_moderate_CCCS_AU_3;canada_pbmm_moderate_CCCS_AU_8;canada_pbmm_moderate_CCCS_CA_7;...(+70 more),ibm_rule_config/activity_tracker/ibm.activity_tracker.cos_dataevents_write_enabled.yaml
alicloud.oss.bucket.https_required,alicloud,oss,bucket,config,L2_API_CONFIG,HIGH,61,7,CIS_AWS;CIS_AZURE;GDPR;HIPAA;NIST_800_171,config,,,,,,(refined),(refined),CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,alicloud_rule_config/oss/alicloud.oss.bucket.https_required.yaml
ibm.cos.bucket.tls_policy_configured,ibm,cos,bucket,config,L2_API_CONFIG,HIGH,59,7,CANADA_PBMM;CIS_AWS;FedRAMP_Moderate;GDPR;HIPAA,config,,,,,,Check that Cloud Object Storage buckets have a TLS policy requiring TLS 1.2.,Check that Cloud Object Storage buckets have a TLS policy requiring TLS 1.2.,CANADA_PBMM,CANADA_PBMM/SC-8(1),ibm_rule_config/cos/ibm.cos.bucket.tls_policy_configured.yaml
alicloud.ram.policy.overly_permissive_configured,alicloud,ram,policy,config,L2_API_CONFIG,MEDIUM,58,11,CANADA_PBMM;CIS_AZURE;CIS_GCP;CIS_OCI;FedRAMP_Moderate,config,,,,,,CCCS AC-6: Least Privilege,CCCS AC-6: Least Privilege,CANADA_PBMM;FedRAMP_Moderate,canada_pbmm_moderate_CCCS_AC_6;fedramp_moderate_AC_6,alicloud_rule_config/ram/alicloud.ram.policy.overly_permissive_configured.yaml
ibm.cos.bucket.server_access_logging_enabled,ibm,cos,bucket,config,L1_API_BOOLEAN,MEDIUM,57,10,CANADA_PBMM;FedRAMP_Moderate;HIPAA;ISO27001_2022;NIST_800_171,config,,,,,,164_308_a_1_ii_d: 164.308(a)(1)(ii)(D) Information system activity review,164_308_a_1_ii_d: 164.308(a)(1)(ii)(D) Information system activity review,CANADA_PBMM;FedRAMP_Moderate;HIPAA;ISO27001_2022;NIST_800_171;NIST_800_53;PCI_DSS;SOC2,canada_pbmm_moderate_CCCS_AU_12;canada_pbmm_moderate_CCCS_AU_2;canada_pbmm_moderate_CCCS_AU_3;canada_pbmm_moderate_CCCS_AU_8;fedramp_moderate_AU_12;...(+51 more),ibm_rule_config/cos/ibm.cos.bucket.server_access_logging_enabled.yaml
ibm.iam.sa.no_administrative_privileges_enforced,ibm,iam,sa,config,L2_API_CONFIG,MEDIUM,56,10,CANADA_PBMM;CIS_AWS;CIS_OCI;FedRAMP_Moderate;GDPR,config,,,,,,Access Control,Access Control,ISO27001_2022;SOC2,iso27001_2022_A.5.15;iso27001_2022_A.5.18;iso27001_2022_A.8.2;iso27001_2022_A.8.3;soc2_cc_1_3;...(+1 more),ibm_rule_config/iam/ibm.iam.sa.no_administrative_privileges_enforced.yaml
ibm.activity_tracker.kms_encryption_enabled,ibm,activity_tracker,kms_encryption_enabled,config,L1_API_BOOLEAN,HIGH,53,7,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;NIST_800_171,config,,,,,,164_308_a_1_ii_b: 164.308(a)(1)(ii)(B) Risk Management,164_308_a_1_ii_b: 164.308(a)(1)(ii)(B) Risk Management,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;NIST_800_171;NIST_800_53;PCI_DSS,canada_pbmm_moderate_CCCS_CM_6;canada_pbmm_moderate_CCCS_CM_9;canada_pbmm_moderate_CCCS_CP_9;canada_pbmm_moderate_CCCS_SC_13;fedramp_moderate_CM_6;...(+38 more),ibm_rule_config/activity_tracker/ibm.activity_tracker.kms_encryption_enabled.yaml
oci.opensearch.service.domains_node_to_node_encryption_enabled,oracle,opensearch,service,config,L1_API_BOOLEAN,HIGH,51,8,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;ISO27001_2022,config,,,,,,164_308_a_4_ii_a: 164.308(a)(4)(ii)(A) Isolating health care clearinghouse funct,164_308_a_4_ii_a: 164.308(a)(4)(ii)(A) Isolating health care clearinghouse funct,CANADA_PBMM;FedRAMP_Moderate;GDPR;HIPAA;ISO27001_2022;NIST_800_171;NIST_800_53;PCI_DSS,canada_pbmm_moderate_CCCS_CA_9;canada_pbmm_moderate_CCCS_SC_13;fedramp_moderate_CA_9;fedramp_moderate_SC_13;gdpr_article_32;...(+56 more),oracle_rule_config/opensearch/oci.opensearch.service.domains_node_to_node_encryption_enabled.yaml
alicloud.ram.user.unused_credentials_configured,alicloud,ram,user,config,L2_API_CONFIG,MEDIUM,51,12,CANADA_PBMM;CISA_CE;CIS_OCI;FedRAMP_Moderate;GDPR,config,,,,,,Access Control,Access Control,CISA_CE;RBI_BANK;RBI_NBFC,cisa_ce_v1_Your_Surroundings_4;cisa_ce_v1_Your_Systems_2;rbi_bank_9.3;rbi_nbfc_2.5,alicloud_rule_config/ram/alicloud.ram.user.unused_credentials_configured.yaml
ibm.iam.user.unused_credentials_configured,ibm,iam,user,config,L2_API_CONFIG,MEDIUM,51,12,CANADA_PBMM;CISA_CE;CIS_OCI;FedRAMP_Moderate;GDPR,config,,,,,,Access Control,Access Control,CISA_CE;RBI_BANK;RBI_NBFC,cisa_ce_v1_Your_Surroundings_4;cisa_ce_v1_Your_Systems_2;rbi_bank_9.3;rbi_nbfc_2.5,ibm_rule_config/iam/ibm.iam.user.unused_credentials_configured.yaml
ibm.iam.password_policy_reuse_prevention_configured,ibm,iam,password_policy_reuse_prevention_configured,config,L2_API_CONFIG,MEDIUM,49,8,CIS_OCI;FedRAMP_Moderate;GDPR;HIPAA;ISO27001_2022,config,,,,,,(refined),(refined),CIS_IBM,CIS_IBM/1.6,ibm_rule_config/iam/ibm.iam.password_policy_reuse_prevention_configured.yaml
