rule_id,provider,service,category,severity,title,description,check_type,complexity,threat_category,mitre_tactics,mitre_techniques,risk_score,domain,action_category,posture_category,frameworks,compliance_ids,source_file
aws.chime.audit.create_meeting,aws,chime,audit,MEDIUM,Detect creation of VPC endpoints for VoIP services and privileged Chime meeting creation,Detect creation of VPC endpoints for VoIP services and privileged Chime meeting creation,log,L6_CIEM_EVENT,persistence,persistence,T1098,55,logging_monitoring_and_alerting,create,security_posture,NIST_800_171,NIST_800_171/3.13.14,aws_rule_ciem/chime/aws.chime.audit.create_meeting.yaml
aws.cloudtrail.activity_log.critical_event_missing,aws,cloudtrail,activity_log,MEDIUM,Detect missing critical audit events and anomalous privileged actions in CloudTrail logs,Detect missing critical audit events and anomalous privileged actions in CloudTrail logs,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,security_posture,read,security_posture,PCI_DSS,PCI_DSS/10.2.2,aws_rule_ciem/cloudtrail/aws.cloudtrail.activity_log.critical_event_missing.yaml
aws.cloudtrail.activity_log.periodic_review,aws,cloudtrail,activity_log,MEDIUM,Detect missing periodic log reviews and anomalous privileged actions across AWS services.,Detect missing periodic log reviews and anomalous privileged actions across AWS services.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,security_posture,read,security_posture,PCI_DSS,PCI_DSS/10.4.2.1,aws_rule_ciem/cloudtrail/aws.cloudtrail.activity_log.periodic_review.yaml
aws.cloudtrail.chain.replay_auth_anomaly,aws,cloudtrail,chain,HIGH,Detect replay attempts via duplicate or out-of-sequence authentication events and anomalous multi-step authentication chains.,Detect replay attempts via duplicate or out-of-sequence authentication events and anomalous multi-step authentication chains.,log_correlation,L7_CIEM_CHAIN,reconnaissance,discovery,T1580,75,security_posture,read,security_posture,NIST_800_171,NIST_800_171/3.5.4,aws_rule_ciem/cloudtrail/aws.cloudtrail.chain.replay_auth_anomaly.yaml
aws.ec2.activity_log.auditd_disable,aws,ec2,activity_log,HIGH,Detect EC2 auditd service stop/deletion and SSM commands that disable or tamper with Linux audit logging,Detect EC2 auditd service stop/deletion and SSM commands that disable or tamper with Linux audit logging,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,75,logging_monitoring_and_alerting,delete,security_posture,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,aws_rule_ciem/ec2/aws.ec2.activity_log.auditd_disable.yaml
aws.ec2.activity_log.delete_volume,aws,ec2,activity_log,HIGH,Detect volume deletion without prior sanitization and snapshot creation from deleted volumes as potential data retention evasion.,Detect volume deletion without prior sanitization and snapshot creation from deleted volumes as potential data retention evasion.,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,75,security_posture,delete,security_posture,NIST_800_171,NIST_800_171/3.8.3,aws_rule_ciem/ec2/aws.ec2.activity_log.delete_volume.yaml
aws.ec2.activity_log.import_image,aws,ec2,activity_log,MEDIUM,Detect import of VM images or execution of diagnostic commands that could introduce untested code into EC2 instances.,Detect import of VM images or execution of diagnostic commands that could introduce untested code into EC2 instances.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,security_posture,read,security_posture,NIST_800_171,NIST_800_171/3.4.7,aws_rule_ciem/ec2/aws.ec2.activity_log.import_image.yaml
aws.ec2.activity_log.modify_time_sync,aws,ec2,activity_log,MEDIUM,"Detect attempts to disable or interfere with time synchronization services (e.g., EC2 instance time sync) and CloudTrail logging disruptions that coul","Detect attempts to disable or interfere with time synchronization services (e.g., EC2 instance time sync) and CloudTrail logging disruptions that coul",log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,55,security_posture,modify,security_posture,NIST_800_171;PCI_DSS,NIST_800_171/3.3.7;PCI_DSS/10.6.1,aws_rule_ciem/ec2/aws.ec2.activity_log.modify_time_sync.yaml
aws.iam.activity_log.console_login_followed_by_disable,aws,iam,activity_log,HIGH,"Detect console login after 90+ day inactivity, then immediate disable (defense evasion) or reactivation of long-dormant users","Detect console login after 90+ day inactivity, then immediate disable (defense evasion) or reactivation of long-dormant users",log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,75,identity_and_access_management,delete,security_posture,CIS_AWS,CIS_AWS/1.12,aws_rule_ciem/iam/aws.iam.activity_log.console_login_followed_by_disable.yaml
aws.iam.activity_log.replay_attempt,aws,iam,activity_log,MEDIUM,Detect replay attempts via duplicate or out-of-sequence authentication events and anomalous multi-step authentication chains.,Detect replay attempts via duplicate or out-of-sequence authentication events and anomalous multi-step authentication chains.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,identity_and_access_management,read,security_posture,NIST_800_171,NIST_800_171/3.5.4,aws_rule_ciem/iam/aws.iam.activity_log.replay_attempt.yaml
aws.iam.audit.user_access_review_override,aws,iam,audit,MEDIUM,Detect IAM user access review overrides and chained actions to evade privilege removal after review deadlines,Detect IAM user access review overrides and chained actions to evade privilege removal after review deadlines,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,identity_and_access_management,read,security_posture,PCI_DSS,PCI_DSS/7.2.4,aws_rule_ciem/iam/aws.iam.audit.user_access_review_override.yaml
aws.iam.audit.user_inactivity_reactivation,aws,iam,audit,MEDIUM,"Detect console login after 90+ day inactivity, then immediate disable (defense evasion) or reactivation of long-dormant users","Detect console login after 90+ day inactivity, then immediate disable (defense evasion) or reactivation of long-dormant users",log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,identity_and_access_management,read,security_posture,CIS,CIS/1.5,aws_rule_ciem/iam/aws.iam.audit.user_inactivity_reactivation.yaml
aws.ssm.chain.auditd_tamper,aws,ssm,chain,HIGH,Detect EC2 auditd service stop/deletion and SSM commands that disable or tamper with Linux audit logging,Detect EC2 auditd service stop/deletion and SSM commands that disable or tamper with Linux audit logging,log_correlation,L7_CIEM_CHAIN,defense_evasion,defense_evasion,T1562,75,logging_monitoring_and_alerting,delete,security_posture,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,aws_rule_ciem/ssm/aws.ssm.chain.auditd_tamper.yaml
aws.ssm.chain.patch_evasion,aws,ssm,chain,HIGH,Detect privileged actions that override patch states or orchestrate patch evasion via SSM command chaining.,Detect privileged actions that override patch states or orchestrate patch evasion via SSM command chaining.,log_correlation,L7_CIEM_CHAIN,defense_evasion,defense_evasion,T1562,75,security_posture,delete,security_posture,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,aws_rule_ciem/ssm/aws.ssm.chain.patch_evasion.yaml
