csp,unique_compliance_id,framework,control_id,title,missing_check_name,suggested_rule_id,priority,rule_type,notes
alicloud,cis_alicloud_1.10,CIS_ALICLOUD,1.10,Ensure RAM password policy require at least one number,alicloud_ram_password_policy_require_numbers_check,alicloud.ram.password.policy_require_numbers_check,1,config,Generated from compliance_agent check name; refine during rule development
alicloud,cis_alicloud_1.11,CIS_ALICLOUD,1.11,Ensure RAM password policy requires minimum length of 14  or greater,alicloud_ram_password_policy_minimum_length_check,alicloud.ram.password.policy_minimum_length_check,1,config,Generated from compliance_agent check name; refine during rule development
alicloud,cis_alicloud_1.12,CIS_ALICLOUD,1.12,Ensure RAM password policy prevents password reuse,alicloud_ram_password_policy_password_reuse_prevention_check,alicloud.ram.password.policy_password_reuse_prevention_check,1,config,Generated from compliance_agent check name; refine during rule development
alicloud,cis_alicloud_1.13,CIS_ALICLOUD,1.13,Ensure RAM password policy expires passwords in 365 days  or greater,alicloud_ram_password_policy_expiration_check,alicloud.ram.password.policy_expiration_check,1,config,Generated from compliance_agent check name; refine during rule development
alicloud,cis_alicloud_1.14,CIS_ALICLOUD,1.14,Ensure RAM password policy temporarily blocks logon after  5 incorrect logon attempts within an hour,alicloud_ram_password_policy_max_login_attempts_check,alicloud.ram.password.policy_max_login_attempts_check,1,config,Generated from compliance_agent check name; refine during rule development
alicloud,cis_alicloud_1.16,CIS_ALICLOUD,1.16,Ensure RAM policies are attached only to groups or roles,alicloud_ram_user_policy_attachment_check,alicloud.ram.user.policy_attachment_check,1,config,Generated from compliance_agent check name; refine during rule development
alicloud,cis_alicloud_1.7,CIS_ALICLOUD,1.7,Ensure RAM password policy requires at least one uppercase  letter,alicloud_ram_password_policy_require_uppercase,alicloud.ram.password.policy_require_uppercase,1,config,Generated from compliance_agent check name; refine during rule development
alicloud,cis_alicloud_1.8,CIS_ALICLOUD,1.8,Ensure RAM password policy requires at least one lowercase  letter,alicloud_ram_password_policy_lowercase_check,alicloud.ram.password.policy_lowercase_check,1,config,Generated from compliance_agent check name; refine during rule development
alicloud,cis_alicloud_1.9,CIS_ALICLOUD,1.9,Ensure RAM password policy require at least one symbol,alicloud_ram_password_policy_require_symbols,alicloud.ram.password.policy_require_symbols,1,config,Generated from compliance_agent check name; refine during rule development
alicloud,cis_alicloud_2.10,CIS_ALICLOUD,2.10,Ensure log monitoring and alerts are set up for RAM Role  changes,alicloud_sls_actiontrail_ram_role_change_monitoring,alicloud.sls.actiontrail.ram_role_change_monitoring,1,config,Generated from compliance_agent check name; refine during rule development
