check_name,matched_rule_ids,method,confidence,reasoning
azure_aad_user_authentication_reconfirmation_period_check,azure.aad.user.authentication.reconfirmation.period.check,token_match_high,1.00,Jaccard=1.00
azure_active_directory_aws_attached_policy_no_administrative_privileges,,weak_match,0.23,weak token overlap — likely no matching rule
azure_active_directory_customer_attached_policy_no_administrative_privileges,,weak_match,0.23,weak token overlap — likely no matching rule
azure_active_directory_inline_policy_no_administrative_privileges,,ai_rejected,none,"The check name refers to Azure Active Directory inline policies with administrative privileges, but none of the candidate rules address AAD inline policy privilege management."
azure_active_directory_no_root_access_key,azure.aad.directory_tenant.access_tenant_api_access_keys_root_or_owner_disallowed,ai_verified,high,"This rule directly addresses root or owner access keys in Azure Active Directory, matching the service and security violation of preventing root-level access keys."
azure_active_directory_password_policy_minimum_length_14,azure.aad.directory_tenant.access_password_policy_min_length_14,ai_verified,high,"This rule directly matches the service (Azure AD), action (password policy), and specific requirement (minimum length of 14) as the check name."
azure_active_directory_password_policy_reuse_24,azure.aad.directory_tenant.access_password_policy_prevent_reuse_last_24,ai_verified,high,"The check name and rule both target Azure AD password policy reuse prevention for the last 24 passwords, indicating an exact match in service, action, and resource."
azure_active_directory_password_policy_strong,azure.aad.directory_tenant.access_tenant_password_policy_compliant,ai_verified,high,"This rule broadly checks overall password policy compliance, which aligns with the general 'strong password policy' intent of the given check name."
azure_active_directory_policy_attached_only_to_group_or_roles,azure.aad.group.access_group_attached_policies_not_admin_star,ai_verified,medium,"The check name focuses on policies attached only to groups or roles in Azure AD, which aligns with the candidate rule that checks for policies attached to groups without overly permissive admin scopes"
azure_active_directory_policy_no_administrative_privileges,azure.aad.directory_tenant.access_tenant_password_policy_compliant,ai_verified,medium,"This rule is the only candidate directly related to Azure Active Directory (AAD) policy compliance, aligning with the service and general policy focus of the check."
azure_active_directory_policy_overly_permissive,azure.aad.directory_tenant.access_tenant_password_policy_compliant,ai_verified,medium,"This rule is the only candidate directly related to Azure Active Directory (AAD) policy compliance, which aligns with the service and security focus of the check name."
azure_active_directory_role_least_privilege,azure.ad.role.least_privilege,ai_verified,high,"The check name directly matches the service (Azure Active Directory) and the security control (role least privilege), making it the only exact match."
azure_active_directory_root_hardware_mfa_enabled,azure.entra.user.with_vm_access_has_mfa:az.active_directory_user.identity_access_security_user_mfa_required,ai_verified,medium,"The check name focuses on root hardware MFA for Azure Active Directory, which aligns with enforcing MFA for privileged users with VM access, though not a perfect match for 'root hardware' specificity."
azure_active_directory_root_mfa_enabled,azure.aad.directory_tenant.access_tenant_break_glass_accounts_mfa_enforced,ai_verified,medium,"The check name targets root/break-glass accounts in Azure AD requiring MFA, which aligns with this rule's focus on enforcing MFA for emergency access accounts."
azure_active_directory_rotate_access_key_90_days,azure.aad.directory_tenant.access_password_policy_max_age_90_days_or_less,ai_verified,medium,"This rule matches the service (Azure AD), security action (password/key rotation), and timeframe (90 days) for directory-level access policies."
azure_active_directory_user_accesskey_unused,,ai_rejected,none,"The check name targets unused user access keys in Azure Active Directory, but none of the candidate rules address access key usage or inactivity."
azure_active_directory_user_console_access_unused,azure.aad.user.access_user_in90_days_disabled,deep_review_high,high,Both the compliance check and the candidate rule focus on disabling or managing unused user accounts to prevent stale access.
azure_active_directory_user_mfa_enabled,azure.aad.user.access_user_mfa_required,ai_verified,high,"This rule directly targets Azure Active Directory (AAD) users and explicitly checks for MFA requirement, matching the service, action, and resource focus of the given check."
azure_active_directory_user_mfa_enabled_console_access,azure.entra.user.with_vm_access_has_mfa:az.active_directory_user.identity_access_security_user_mfa_required,ai_verified,medium,"This rule specifically targets users with VM/console access requiring MFA, which aligns with the check's focus on console access MFA enforcement for Azure AD users."
azure_ad_authentication_methods_policy_check,azure.ad.authentication.methods.policy.check,token_match_high,1.00,Jaccard=1.00
azure_ad_conditionalaccess_token_protection_check,azure.ad.conditionalaccess.token.protection.check,token_match_high,1.00,Jaccard=1.00
azure_ad_group_creation_restriction_check,azure.ad.group.creation.restriction.check,token_match_high,1.00,Jaccard=1.00
azure_ad_guest_user_access_restriction_check,azure.ad.guest.user.access.restriction.check,token_match_high,1.00,Jaccard=1.00
azure_ad_password_reset_notification_check,azure.ad.password.reset.notification.check,token_match_high,1.00,Jaccard=1.00
azure_ad_security_lockout_duration_check,azure.ad.security.lockout.duration.check,token_match_high,1.00,Jaccard=1.00
azure_ad_tenant_creator_role_review,azure.ad.tenant.creator.role.review,token_match_high,1.00,Jaccard=1.00
azure_ad_user_role_check_disabled,azure.ad.user.role.check.disabled,token_match_high,1.00,Jaccard=1.00
azure_aisearch_service_not_publicly_accessible,azure.aisearch.service.not_publicly_accessible,token_match_high,1.00,Jaccard=1.00
azure_aks_authorization_mode_check,azure.aks.authorization.mode.check,token_match_high,1.00,Jaccard=1.00
azure_aks_cluster_kms_cmk_encryption_in_secrets_enabled,azure.kubernetes.managed_cluster.containers_cluster_secrets_encryption_kms_enabled,ai_verified,high,Both the check name and the rule specifically target Azure Kubernetes Service (AKS) clusters and enforce the use of customer-managed keys (CMK) for encrypting secrets.
azure_aks_cluster_private_cluster_enabled,azure.aks.cluster.private.cluster.enabled,token_match_high,1.00,Jaccard=1.00
azure_aks_cluster_private_endpoint_and_public_access_check,azure.aks.cluster.private.endpoint.and.public.access.check,token_match_high,1.00,Jaccard=1.00
azure_aks_cluster_uses_a_supported_version,azure.kubernetes.addon.containers_version_pinned_and_supported,deep_review_medium,medium,"Both controls focus on ensuring that Kubernetes-related components (AKS cluster version and container addon versions) are supported, though they target different specific resources."
azure_aks_clusters_created_with_private_nodes,azure.aks.cluster.private_nodes_enabled;azure.aks.cluster.private.cluster.enabled,ai_verified,high,"Both rules directly check for private nodes or private cluster configuration in AKS, matching the service, action, and target resource of the given check."
azure_aks_clusters_public_access_disabled,azure.aks.cluster.public_access_disabled,token_match_high,0.71,Jaccard=0.71
azure_aks_endpoints_not_publicly_accessible,azure.aks.cluster.private.cluster.enabled,deep_review_medium,medium,"Both controls aim to restrict public access to AKS clusters, but the check name focuses on endpoints while the rule enforces private cluster configuration."
azure_aks_kubelet_certificate_rotation_check,azure.aks.kubelet.certificate.rotation.check,token_match_high,1.00,Jaccard=1.00
azure_aks_kubelet_rotate_certificates_check,azure.aks.kubelet.rotate.certificates.check,token_match_high,1.00,Jaccard=1.00
azure_aks_kubelet_streaming_connection_idle_timeout_check,azure.aks.kubelet.streaming.connection.idle.timeout.check,token_match_high,1.00,Jaccard=1.00
azure_aks_namespace_network_policy_compliance_check,azure.aks.namespace.network.policy.compliance.check,token_match_high,1.00,Jaccard=1.00
azure_aks_network_cni_version_check,azure.aks.network.cni.version.check,token_match_high,1.00,Jaccard=1.00
azure_aks_network_policy_enabled,azure.aks.network.policy_enabled,token_match_high,1.00,Jaccard=1.00
azure_aks_pod_service_account_tokens_automount_disabled,azure.aks.pod.service.account.tokens.automount.disabled,token_match_high,1.00,Jaccard=1.00
azure_aks_rbac_check_cluster_admin_usage,azure.aks.rbac.check.cluster.admin.usage,token_match_high,1.00,Jaccard=1.00
azure_aks_service_account_default_usage_check,azure.aks.service.account.default.usage.check,token_match_high,1.00,Jaccard=1.00
azure_api_management_api_gateway_https_required,azure.cdn.endpoint.https_required,deep_review_medium,medium,"Both controls enforce HTTPS usage for secure communication, but one is for API Management and the other for CDN endpoints, making them conceptually similar but not identical."
azure_api_management_authorization_enabled,,ai_rejected,none,"The check name refers to enabling authorization in Azure API Management, but none of the candidate rules specifically address authorization being enabled; they focus on logging, validation, caching, T"
azure_api_management_client_certificate_enabled,,ai_rejected,none,"None of the candidate rules address client certificate authentication for API Management, which is a distinct security control for API access."
azure_api_management_restapi_client_certificate_enabled,,ai_rejected,none,No rule matches the specific check for enabling client certificates on Azure API Management REST APIs.
azure_api_management_restapi_logging_enabled,azure.api.management_monitoring.monitoring_api_access_logging_enabled,ai_verified,high,"This rule directly matches the service (Azure API Management), action (logging enabled), and target (API access) for REST APIs."
azure_api_management_restapi_tracing_enabled,azure.api.management_monitoring.monitoring_api_access_logging_enabled,deep_review_medium,medium,"Both controls focus on enabling logging/tracing for API access in Azure API Management, though 'tracing' and 'access logging' are slightly different terms for the same monitoring concept."
azure_api_management_restapi_waf_acl_attached,azure.api.management_restapi_waf_acl_attached:az.api_management_monitoring.api_security_monitoring_api_access_logging_enabled,ai_verified,high,"This rule directly matches the check name's service (Azure API Management), action (WAF ACL attachment), and target resource (REST API)."
azure_apigatewayv2_api_access_logging_enabled,azure.api.management_monitoring.monitoring_api_access_logging_enabled,ai_verified,high,This rule directly matches the service (API Gateway/Management) and the specific security check for enabling API access logging.
azure_app_function_access_keys_configured,azure.function.app.function_url_authentication,deep_review_medium,medium,"Both controls focus on securing access to Azure Functions, with the check name emphasizing access keys and the candidate rule emphasizing URL authentication, which are related mechanisms for controlling function access."
azure_app_function_identity_without_admin_privileges,azure.app.function.identity_without_admin_privileges,token_match_high,1.00,Jaccard=1.00
azure_app_function_not_publicly_accessible,,ai_rejected,none,"No rule matches the specific check for Azure App Function public accessibility, as the candidates either target different services or different security controls."
azure_app_http_logs_enabled,azure.app.service.http.logs.enabled,token_match_high,0.80,Jaccard=0.80
azure_app_minimum_tls_version_12,azure.function.app.minimum.tls.version,token_match_high,0.71,Jaccard=0.71
azure_app_service_autoscale_enabled,azure.app.service.identity.check,token_match_high,0.60,Jaccard=0.60
azure_app_service_certificate_certificate_expiration,azure.keyvault.certificate.expiration_check,ai_verified,medium,"The check name focuses on certificate expiration for Azure App Service certificates, which is most closely aligned with a certificate expiration monitoring rule, though the service scope differs sligh"
azure_app_service_cors_check_allowed_origins,azure.app.service.cors.check.allowed.origins,token_match_high,1.00,Jaccard=1.00
azure_app_service_cors_wildcard_restriction,azure.app.service.cors.wildcard.restriction,token_match_high,1.00,Jaccard=1.00
azure_app_service_deployment_slot_ftps_state_check,azure.app.service.deployment.slot.ftps.state.check,token_match_high,1.00,Jaccard=1.00
azure_app_service_deployment_slot_http_version_check,azure.app.service.deployment.slot.http.version.check,token_match_high,1.00,Jaccard=1.00
azure_app_service_deployment_slot_https_only_enabled,azure.app.service.deployment.slot.https.only.enabled,token_match_high,1.00,Jaccard=1.00
azure_app_service_deployment_slot_java_version_check,azure.app.service.deployment.slot.java.version.check,token_match_high,1.00,Jaccard=1.00
azure_app_service_deployment_slot_managed_identity_configured,azure.app.service.deployment.slot.managed.identity.configured,token_match_high,1.00,Jaccard=1.00
azure_app_service_deployment_slot_remote_debugging_disabled,azure.app.service.deployment.slot.remote.debugging.disabled,token_match_high,1.00,Jaccard=1.00
azure_app_service_deployment_slot_tls_encryption_check,azure.app.service.deployment.slot.tls.encryption.check,token_match_high,1.00,Jaccard=1.00
azure_app_service_deployment_slot_vnet_route_all_enabled_check,azure.app.service.deployment.slot.vnet.route.all.enabled.check,token_match_high,1.00,Jaccard=1.00
azure_app_service_deployment_slots_basic_auth_disabled,azure.app.service.deployment.slots.basic.auth.disabled,token_match_high,1.00,Jaccard=1.00
azure_app_service_environment_minimum_tls_version,azure.app.service.environment.minimum.tls.version,token_match_high,1.00,Jaccard=1.00
azure_app_service_environment_minimum_version_check,azure.app.service.environment.minimum.version.check,token_match_high,1.00,Jaccard=1.00
azure_app_service_function_slot_https_only_check,azure.app.service.function.slot.https.only.check,token_match_high,1.00,Jaccard=1.00
azure_app_service_http_logs_enabled,azure.app.service.http.logs.enabled,token_match_high,1.00,Jaccard=1.00
azure_app_service_identity_check,azure.app.service.identity.check,token_match_high,1.00,Jaccard=1.00
azure_app_service_managed_updates_enabled,azure.app.service.managed_updates_enabled,ai_verified,high,"The rule name directly matches the check name, indicating it implements the same security check for Azure App Service managed updates."
azure_app_service_plan_private_endpoint_sku_compliance_check,azure.app.service.plan.private.endpoint.sku.compliance.check,token_match_high,1.00,Jaccard=1.00
azure_app_service_private_endpoint_approved_check,azure.app.service.private.endpoint.approved.check,token_match_high,1.00,Jaccard=1.00
azure_app_service_private_endpoint_dns_zone_check,azure.app.service.private.endpoint.dns.zone.check,token_match_high,1.00,Jaccard=1.00
azure_app_service_slot_check_minimum_tls_version,azure.app.service.slot.check.minimum.tls.version,token_match_high,1.00,Jaccard=1.00
