id,unique_id,source,title,description,rationale,audit,remediation,profile_applicability,impact,references,final_approach,final_confidence,program_name,justification,automation_summary,manual_summary,three_ai_consensus,decision_timestamp
1.1.1,k8s_1_1_1_1,CIS KUBERNETES BENCHMARK V1.9.0 PDF,Ensure that the API server pod specification file permissions are set to 600 or more restrictive,Ensure that the API server pod specification file has permissions of 600 or more restrictive.,The API server pod specification file controls various parameters that set the behavior of the API server. You should restrict its file permissions to maintain the integrity of the file. The file should be writable by only the administrators on the system. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %a /etc/kubernetes/manifests/kube-apiserver.yaml Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 /etc/kubernetes/manifests/kube-apiserver.yaml Default Value: By default, the kube-apiserver.yaml file has permissions of 640. References: 1. https://kubernetes.io/docs/admin/kube-apiserver/",•  Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-apiserver/,Manual,HIGH,,"Both AI opinions unanimously agree that this control requires a manual approach due to the necessity of direct OS-level access to verify file permissions, which cannot be accomplished through Kubernetes APIs or `kubectl`. The audit steps involve checking the file permissions on the control plane node, which is outside the scope of Kubernetes management capabilities.",,"1. SSH into the Kubernetes control plane node where the API server runs. 2. Locate the kube-apiserver manifest file, typically at `/etc/kubernetes/manifests/kube-apiserver.yaml`. 3. Run the following command to check the file permissions: ``` stat -c %a /etc/kubernetes/manifests/kube-apiserver.yaml ``` or ``` ls -l /etc/kubernetes/manifests/kube-apiserver.yaml ``` 4. Verify that the permissions are set to 600 or more restrictive (e.g., 600, 400, 440). 5. Confirm compliance if the permissions are 600 or more restrictive; otherwise, remediate by running: ``` chmod 600 /etc/kubernetes/manifests/kube-apiserver.yaml ``` 6. Document the result for compliance records.",Yes,2025-10-30T03:01:01.577305
1.1.2,k8s_1_1_1_2,CIS KUBERNETES BENCHMARK V1.9.0 PDF,Ensure that the API server pod specification file ownership is set to root:root,Ensure that the API server pod specification file ownership is set to root:root.,The API server pod specification file controls various parameters that set the behavior of the API server. You should set its file ownership to maintain the integrity of the file. The file should be owned by root:root. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G /etc/kubernetes/manifests/kube-apiserver.yaml Verify that the ownership is set to root:root.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root /etc/kubernetes/manifests/kube-apiserver.yaml Default Value: By default, the kube-apiserver.yaml file ownership is set to root:root. References: 1. https://kubernetes.io/docs/admin/kube-apiserver/",•  Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-apiserver/,Manual,HIGH,,"Both AI opinions unanimously agree that this control requires a manual approach due to the necessity of direct OS-level access to verify file ownership, which is not exposed through Kubernetes APIs or kubectl. The audit and remediation steps involve using standard Linux commands that cannot be automated within the Kubernetes ecosystem.",,"1. SSH into the Kubernetes control plane node where the kube-apiserver runs. 2. Run the following command to check the ownership of the kube-apiserver manifest file (adjust the path if your manifest is in a different location): ``` stat -c %U:%G /etc/kubernetes/manifests/kube-apiserver.yaml ``` 3. Verify that the output is: ``` root:root ``` 4. If the ownership is not root:root, remediate by running: ``` chown root:root /etc/kubernetes/manifests/kube-apiserver.yaml ``` 5. Confirm compliance by re-running the stat command and ensuring the output is root:root.",Yes,2025-10-30T03:47:04.931790
1.1.3,k8s_1_1_1_3,CIS KUBERNETES BENCHMARK V1.9.0 PDF,Ensure that the controller manager pod specification file permissions are set to 600 or more restrictive,Ensure that the controller manager pod specification file has permissions of 600 or more restrictive.,The controller manager pod specification file controls various parameters that set the behavior of the Controller Manager on the master node. You should restrict its file permissions to maintain the integrity of the file. The file should be writable by only the administrators on the system. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %a /etc/kubernetes/manifests/kube-controller-manager.yaml Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 /etc/kubernetes/manifests/kube-controller-manager.yaml Default Value: By default, the kube-controller-manager.yaml file has permissions of 640. References: 1. https://kubernetes.io/docs/admin/kube-apiserver/",•  Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-apiserver/,Manual,HIGH,,"Both AI opinions unanimously agree that this control requires a manual approach due to the necessity of direct OS-level access to verify file permissions on the control plane node. Kubernetes APIs and kubectl do not provide the capability to check host file system permissions for static pod manifest files, confirming that automation is not feasible in this scenario.",,"1. SSH into the Kubernetes control plane node where the kube-controller-manager runs. 2. Locate the kube-controller-manager pod specification file, typically at `/etc/kubernetes/manifests/kube-controller-manager.yaml`. 3. Run the following command to check the file permissions: ``` stat -c %a /etc/kubernetes/manifests/kube-controller-manager.yaml ``` or ``` ls -l /etc/kubernetes/manifests/kube-controller-manager.yaml ``` 4. Verify that the permissions are 600 or more restrictive (i.e., only the file owner has read and write permissions, and no permissions are granted to group or others). 5. If the permissions are more permissive than 600 (e.g., 640, 644), update them using: ``` chmod 600 /etc/kubernetes/manifests/kube-controller-manager.yaml ``` 6. Confirm compliance by re-running the `stat` or `ls` command and ensuring the permissions are set to 600.",Yes,2025-10-30T02:42:20.154264
1.1.4,k8s_1_1_1_4,CIS KUBERNETES BENCHMARK V1.9.0 PDF,Ensure that the controller manager pod specification file ownership is set to root:root,Ensure that the controller manager pod specification file ownership is set to root:root.,The controller manager pod specification file controls various parameters that set the behavior of various components of the master node. You should set its file ownership to maintain the integrity of the file. The file should be owned by root:root. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G /etc/kubernetes/manifests/kube-controller-manager.yaml Verify that the ownership is set to root:root.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root /etc/kubernetes/manifests/kube-controller-manager.yaml Default Value: By default, kube-controller-manager.yaml file ownership is set to root:root. References: 1. https://kubernetes.io/docs/admin/kube-controller-manager",•  Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-controller-manager,Manual,HIGH,,"Both AI opinions unanimously agree that this control requires a manual approach due to the necessity of verifying file ownership directly on the host filesystem, which cannot be accessed through Kubernetes APIs or `kubectl`. The audit steps explicitly involve running OS-level commands, confirming that automation is not feasible for this specific check.",,"1. SSH into each Kubernetes control plane node. 2. Identify the location of the kube-controller-manager pod specification file (commonly located at `/etc/kubernetes/manifests/kube-controller-manager.yaml`). 3. Run the following command to check file ownership: ``` stat -c %U:%G /etc/kubernetes/manifests/kube-controller-manager.yaml ``` 4. Verify that the output is: ``` root:root ``` 5. If the ownership is not `root:root`, remediate by running: ``` chown root:root /etc/kubernetes/manifests/kube-controller-manager.yaml ``` 6. Repeat the above steps for all control plane nodes in the cluster.",Yes,2025-10-30T03:00:06.234304
1.1.5,k8s_1_1_1_5,CIS KUBERNETES BENCHMARK V1.9.0 PDF,Ensure that the scheduler pod specification file permissions are set to 600 or more restrictive,Ensure that the scheduler pod specification file has permissions of 600 or more restrictive.,The scheduler pod specification file controls various parameters that set the behavior of the Scheduler service in the master node. You should restrict its file permissions to maintain the integrity of the file. The file should be writable by only the administrators on the system. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %a /etc/kubernetes/manifests/kube-scheduler.yaml Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 /etc/kubernetes/manifests/kube-scheduler.yaml Default Value: By default, kube-scheduler.yaml file has permissions of 640. References: 1. https://kubernetes.io/docs/admin/kube-scheduler/",•  Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-scheduler/,Manual,HIGH,,"Both AI opinions agree that this control requires a manual audit approach due to the necessity of verifying file system permissions, which are not accessible through Kubernetes APIs or kubectl commands. The audit steps explicitly require running shell commands on the control plane node, making automation infeasible.",,"1. SSH into the Kubernetes control plane node where the kube-scheduler runs. 2. Locate the kube-scheduler manifest file, typically at `/etc/kubernetes/manifests/kube-scheduler.yaml`. 3. Run the following command to check the file permissions: ``` stat -c %a /etc/kubernetes/manifests/kube-scheduler.yaml ``` 4. Verify that the output is 600 or more restrictive (e.g., 600, 400, 440, 444). 5. If the permissions are more permissive than 600 (e.g., 640, 644, 660, 666, etc.), remediate by running: ``` chmod 600 /etc/kubernetes/manifests/kube-scheduler.yaml ``` 6. Confirm compliance by re-running the stat command and ensuring the permissions are now 600 or more restrictive.",Yes,2025-10-30T04:01:11.036153
1.1.6,k8s_1_1_1_6,CIS KUBERNETES BENCHMARK V1.9.0 PDF,Ensure that the scheduler pod specification file ownership is set to root:root,Ensure that the scheduler pod specification file ownership is set to root:root.,The scheduler pod specification file controls various parameters that set the behavior of the kube-scheduler service in the master node. You should set its file ownership to maintain the integrity of the file. The file should be owned by root:root. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G /etc/kubernetes/manifests/kube-scheduler.yaml Verify that the ownership is set to root:root.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root /etc/kubernetes/manifests/kube-scheduler.yaml Default Value: By default, kube-scheduler.yaml file ownership is set to root:root. References: 1. https://kubernetes.io/docs/admin/kube-scheduler/",•  Level 1 - Master Node,None,1. https://kubernetes.io/docs/admin/kube-scheduler/,Manual,HIGH,,"Both AI opinions unanimously agree that the control requires manual verification due to the nature of the check, which involves inspecting the underlying host filesystem for file ownership. This information is not accessible through Kubernetes APIs or kubectl commands, necessitating direct access to the control plane node.",,"1. SSH into the Kubernetes control plane node where the kube-scheduler is running. 2. Locate the kube-scheduler pod specification file. The default location is `/etc/kubernetes/manifests/kube-scheduler.yaml`, but confirm the actual path if it differs in your environment. 3. Run the following command to check the file ownership: ``` stat -c %U:%G /etc/kubernetes/manifests/kube-scheduler.yaml ``` 4. Verify that the output is: ``` root:root ``` 5. If the ownership is not `root:root`, remediate by running: ``` chown root:root /etc/kubernetes/manifests/kube-scheduler.yaml ``` 6. Confirm compliance by re-running the stat command and ensuring the ownership is now `root:root`.",Yes,2025-10-30T03:20:39.192982
1.1.7,k8s_1_1_1_7,CIS KUBERNETES BENCHMARK V1.9.0 PDF,Ensure that the etcd pod specification file permissions are set to 600 or more restrictive,Ensure that the /etc/kubernetes/manifests/etcd.yaml file has permissions of 600 or more restrictive.,The etcd pod specification file /etc/kubernetes/manifests/etcd.yaml controls various parameters that set the behavior of the etcd service in the master node. etcd is a highly- available key-value store which Kubernetes uses for persistent storage of all of its REST API object. You should restrict its file permissions to maintain the integrity of the file. The file should be writable by only the administrators on the system. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %a /etc/kubernetes/manifests/etcd.yaml Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 /etc/kubernetes/manifests/etcd.yaml Default Value: By default, /etc/kubernetes/manifests/etcd.yaml file has permissions of 640. References: 1. https://coreos.com/etcd 2. https://kubernetes.io/docs/admin/etcd/",•  Level 1 - Master Node,None,1. https://coreos.com/etcd 2. https://kubernetes.io/docs/admin/etcd/,Manual,HIGH,,"Both AI opinions unanimously agree that this control requires a manual approach due to the necessity of checking file permissions directly on the host operating system, which is not accessible via Kubernetes APIs or kubectl. The audit steps involve SSH access to the control plane node, making automation infeasible.",,"1. SSH into the Kubernetes control plane node where etcd is running. 2. Run the following command to check the permissions of the etcd manifest file: ``` stat -c %a /etc/kubernetes/manifests/etcd.yaml ``` 3. Verify that the output is 600 or more restrictive (e.g., 600, 400, 440, etc.). 4. If the permissions are more permissive than 600 (such as 640, 644, etc.), remediate by running: ``` chmod 600 /etc/kubernetes/manifests/etcd.yaml ``` 5. Confirm compliance by re-running the stat command and ensuring the output is 600 or more restrictive.",Yes,2025-10-30T03:21:55.712871
1.1.8,k8s_1_1_1_8,CIS KUBERNETES BENCHMARK V1.9.0 PDF,Ensure that the etcd pod specification file ownership is set to root:root,Ensure that the /etc/kubernetes/manifests/etcd.yaml file ownership is set to root:root.,The etcd pod specification file /etc/kubernetes/manifests/etcd.yaml controls various parameters that set the behavior of the etcd service in the master node. etcd is a highly- available key-value store which Kubernetes uses for persistent storage of all of its REST API object. You should set its file ownership to maintain the integrity of the file. The file should be owned by root:root. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G /etc/kubernetes/manifests/etcd.yaml Verify that the ownership is set to root:root.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root /etc/kubernetes/manifests/etcd.yaml Default Value: By default, /etc/kubernetes/manifests/etcd.yaml file ownership is set to root:root. References: 1. https://coreos.com/etcd 2. https://kubernetes.io/docs/admin/etcd/",•  Level 1 - Master Node,None,1. https://coreos.com/etcd 2. https://kubernetes.io/docs/admin/etcd/,Manual,HIGH,,"Both AI opinions unanimously agree that this control requires a manual approach due to the necessity of direct OS-level access to verify file ownership, which is not exposed through Kubernetes APIs or `kubectl`. The audit steps explicitly involve running shell commands on the control plane node, confirming that automation is not feasible in this scenario.",,"1. SSH into the Kubernetes control plane node where etcd is running. 2. Run the following command to check the ownership of the etcd manifest file: ``` stat -c %U:%G /etc/kubernetes/manifests/etcd.yaml ``` 3. Review the output. The expected secure configuration is: ``` root:root ``` 4. If the output matches ""root:root"", the control is compliant. If not, remediate by running: ``` chown root:root /etc/kubernetes/manifests/etcd.yaml ``` 5. Re-run the `stat` command to confirm compliance.",Yes,2025-10-30T04:06:14.317153
1.1.9,k8s_1_1_1_9,CIS KUBERNETES BENCHMARK V1.9.0 PDF,Ensure that the Container Network Interface file permissions are set to 600 or more restrictive,Ensure that the Container Network Interface files have permissions of 600 or more restrictive.,Container Network Interface provides various networking options for overlay networking. You should consult their documentation and restrict their respective file permissions to maintain the integrity of those files. Those files should be writable by only the administrators on the system. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %a <path/to/cni/files> Verify that the permissions are 600 or more restrictive.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chmod 600 <path/to/cni/files> Default Value: NA References: 1. https://kubernetes.io/docs/concepts/cluster-administration/networking/",•  Level 1 - Master Node,None,1. https://kubernetes.io/docs/concepts/cluster-administration/networking/,Manual,HIGH,,"Both AI opinions unanimously agree that this control requires a manual approach due to the necessity of direct access to the host operating system to check file permissions, which is not possible through Kubernetes APIs or kubectl. The audit steps explicitly involve OS-level commands that cannot be executed in a Kubernetes-native environment.",,"1. SSH into each Kubernetes control plane node. 2. Identify the directory containing CNI configuration files (commonly located at `/etc/cni/net.d/`). 3. For each file in the CNI configuration directory, run the command: - `stat -c %a <path/to/cni/file>` 4. Verify that the permissions for each file are set to 600 or more restrictive (i.e., only the owner has read/write access). 5. Confirm compliance: All CNI configuration files should have permissions set to 600 or more restrictive. If any file has less restrictive permissions, the node is considered non-compliant.",Yes,2025-10-30T02:49:39.409508
1.1.10,k8s_1_1_1_10,CIS KUBERNETES BENCHMARK V1.9.0 PDF,Ensure that the Container Network Interface file ownership is set to root:root,Ensure that the Container Network Interface files have ownership set to root:root.,Container Network Interface provides various networking options for overlay networking. You should consult their documentation and restrict their respective file permissions to maintain the integrity of those files. Those files should be owned by root:root. Impact: None,"Run the below command (based on the file location on your system) on the Control Plane node. For example, stat -c %U:%G <path/to/cni/files> Verify that the ownership is set to root:root.","Run the below command (based on the file location on your system) on the Control Plane node. For example, chown root:root <path/to/cni/files> Default Value: NA References: 1. https://kubernetes.io/docs/concepts/cluster-administration/networking/",•  Level 1 - Master Node,None,1. https://kubernetes.io/docs/concepts/cluster-administration/networking/,Manual,HIGH,,"Both AI opinions unanimously agree that this control requires a manual approach due to the necessity of inspecting host-level file ownership, which is not accessible through Kubernetes APIs or kubectl. The audit steps explicitly involve using OS-level commands to verify file ownership on the control plane node, confirming that automation is not feasible in this context.",,"1. Log in to each Kubernetes control plane node with appropriate privileges (SSH access). 2. Identify the directory where Container Network Interface (CNI) binaries and configuration files are stored, typically located at `/etc/cni/net.d/` and `/opt/cni/bin/`. 3. For each file in these directories, execute the following command: - `stat -c %U:%G <path/to/cni/file>` 4. Verify that the output for each file shows `root:root` as the owner and group. 5. If any file is not owned by `root:root`, remediate by running: - `chown root:root <path/to/cni/file>` 6. Confirm compliance when all CNI files in the relevant directories are owned by `root:root`.",Yes,2025-10-30T04:05:24.029760
