check_name,matched_rule_ids,method,confidence,reasoning
alicloud_No checks defined,,ai_rejected,none,"The check name 'alicloud_No checks defined' indicates no specific security check is provided, so no rule can be matched."
alicloud_accessanalyzer_enabled,alicloud.accessanalyzer.enabled.configured,token_match_high,1.00,Jaccard=1.00
alicloud_accessanalyzer_enabled_without_findings,alicloud.accessanalyzer.enabled.without_findings,token_match_high,1.00,Jaccard=1.00
alicloud_account_maintain_current_contact_details,alicloud.general.resource.account_contact_details_current_maintenance_enforced,ai_verified,high,The check name directly matches the rule's purpose of ensuring account contact details are current and maintained.
alicloud_account_maintain_different_contact_details_to_security_billing_and_operations,alicloud.general.resource.account_contact_details_differentiation_enforced,ai_verified,high,"The check name directly matches the rule's focus on enforcing different contact details for security, billing, and operations."
alicloud_account_security_contact_information_is_registered,alicloud.general.resource.account_security_contact_information_registration_verified,ai_verified,high,Both the check name and the rule focus on verifying the registration of security contact information for an Alibaba Cloud account.
alicloud_ack_cluster_approved_container_registries_check,alicloud.ack.cluster.approved_container_registries_enforced,token_match_high,0.86,Jaccard=0.86
alicloud_ack_cluster_audit_logging_remote_enabled,alicloud.ack.cluster.audit_logging_remote_enforced,token_match_high,0.86,Jaccard=0.86
alicloud_ack_cluster_cloudmonitor_status_check,alicloud.ack.cluster.cloud_monitoring_enabled,ai_verified,high,"The check name directly references cloud monitor status, which matches the rule's focus on enabling cloud monitoring for ACK clusters."
alicloud_ack_cluster_control_plane_private_access_and_ip_allowlist_check,alicloud.ack.cluster.control_plane_private_access_ip_allowlist_enforced,token_match_high,0.90,Jaccard=0.90
alicloud_ack_cluster_dashboard_check,alicloud.ack.cluster.dashboard_access_restricted,token_match_high,0.67,Jaccard=0.67
alicloud_ack_cluster_endpoint_private_enabled_public_disabled,alicloud.ack.cluster.endpoint_private_access_enforced,ai_verified,high,"The check name directly matches the rule's focus on enforcing private endpoint access for ACK clusters, which aligns with enabling private and disabling public endpoints."
alicloud_ack_cluster_health_check_weekly_status,alicloud.ack.cluster.weekly_health_checks_enabled,token_match_high,0.71,Jaccard=0.71
alicloud_ack_cluster_kms_cmk_encryption_in_secrets_enabled,alicloud.ack.cluster.kms_cmk_encryption_for_secrets_enabled,token_match_high,1.00,Jaccard=1.00
alicloud_ack_cluster_log_service_status_check,alicloud.ack.cluster.logging_service_enabled;alicloud.ack.log.service_integration_check;alicloud.ack.log_service.integration_enabled,ai_verified,high,"All three rules focus on enabling logging service integration for ACK clusters, matching the service, action, and target resource of the check name."
alicloud_ack_cluster_network_plugin_terway_compliance_check,alicloud.ack.cluster.network_plugin_terway_compliance_enforced,token_match_high,0.88,Jaccard=0.88
alicloud_ack_cluster_network_policy_enabled,alicloud.ack.cluster.network_policy_enforced,token_match_high,0.83,Jaccard=0.83
alicloud_ack_cluster_nodes_private_ip_enforced,alicloud.ack.cluster.nodes_private_ip_required,token_match_high,0.75,Jaccard=0.75
alicloud_ack_cluster_pod_security_policy_compliance,alicloud.ack.cluster.pod_security_policy_compliance_enforced,token_match_high,0.88,Jaccard=0.88
alicloud_ack_cluster_private_access_enabled,alicloud.ack.cluster.private_access_enforced,token_match_high,0.83,Jaccard=0.83
alicloud_ack_cluster_rbac_authorization_check,alicloud.ack.cluster.rbac_authorization_enforced,token_match_high,0.83,Jaccard=0.83
alicloud_ack_cluster_secret_encryption_kms_enabled,alicloud.ack.cluster.secret_encryption_kms_enforced,token_match_high,0.86,Jaccard=0.86
alicloud_ack_cluster_uses_a_supported_version,alicloud.ack.cluster.uses_latest_supported_version,token_match_high,0.86,Jaccard=0.86
alicloud_ack_ebs_data_disk_cmek_encryption_check,alicloud.ack.ebs.data_disk_cmek_encryption_check,token_match_high,1.00,Jaccard=1.00
alicloud_ack_endpoints_not_publicly_accessible,alicloud.ack.endpoints.not_publicly_accessible,token_match_high,1.00,Jaccard=1.00
alicloud_ack_kube_apiserver_client_ca_file_check,alicloud.ack.kube.apiserver_client_ca_file_check,token_match_high,1.00,Jaccard=1.00
alicloud_ack_kubernetes_pod_create_access_minimized,alicloud.ack.kubernetes.pod_create_access_least_privilege,token_match_high,0.67,Jaccard=0.67
alicloud_ack_load_balancer_https_tls_encryption_in_transit,alicloud.ack.load_balancer.https_tls_encryption_in_transit_enforced,token_match_high,0.89,Jaccard=0.89
alicloud_ack_pod_seccomp_profile_runtime_default_check,alicloud.ack.pod.seccomp_profile_runtime_default_enforced,token_match_high,0.88,Jaccard=0.88
alicloud_ack_pod_security_context_presence_check,alicloud.ack.pod.security_context_configured,token_match_high,0.83,Jaccard=0.83
alicloud_ack_pod_service_account_token_mounting_check,alicloud.ack.pod.service_account_token_mounting_disabled,token_match_high,0.88,Jaccard=0.88
alicloud_ack_psp_net_raw_capability_check,alicloud.ack.psp.net_raw_capability_disabled,token_match_high,0.86,Jaccard=0.86
alicloud_ack_psp_root_user_check,alicloud.ack.psp.root_user_access_prevented,token_match_high,0.71,Jaccard=0.71
alicloud_ack_ram_role_acr_read_only_access_check,alicloud.ack.ram.role_acr_read_only_access_check,token_match_high,1.00,Jaccard=1.00
alicloud_ack_rbac_secrets_access_check,alicloud.ack.rbac.least_privilege_secrets_access_enforced,token_match_high,0.62,Jaccard=0.62
alicloud_ack_serviceaccount_default_no_token_and_no_roles,alicloud.ack.service_account.default_no_token_no_roles_enforced,ai_verified,high,"The rule directly matches the check name in service (ACK), resource (service account), and security control (default no token and no roles)."
alicloud_acm_certificates_expiration_check,alicloud.ack.certificates.expiration_check,token_match_high,0.60,Jaccard=0.60
alicloud_acr_instance_access_policy_and_network_restriction_audit,alicloud.cr.instance.access_policy_and_network_restriction_audit,token_match_high,0.78,Jaccard=0.78
alicloud_acr_repository_vulnerability_scanning_enabled,alicloud.cr.repository.scanning_enabled,ai_verified,high,Both the check name and this rule specifically target Alibaba Cloud Container Registry (CR) repositories and require vulnerability scanning to be enabled.
alicloud_actiontrail_cloudmonitor_logging_enabled,alicloud.actiontrail.logging.enabled,token_match_high,0.75,Jaccard=0.75
alicloud_actiontrail_cloudwatch_logging_enabled,alicloud.actiontrail.cloudwatch.logging_enabled,token_match_high,1.00,Jaccard=1.00
alicloud_actiontrail_cloudwatch_logs_enabled,alicloud.actiontrail.cloudwatch.logging_enabled,token_match_high,0.60,Jaccard=0.60
alicloud_actiontrail_enabled,alicloud.actiontrail.enabled.configured,token_match_high,1.00,Jaccard=1.00
alicloud_actiontrail_kms_encryption_enabled,alicloud.actiontrail.kms.encryption_enabled,token_match_high,1.00,Jaccard=1.00
alicloud_actiontrail_log_file_validation_enabled,alicloud.actiontrail.log_file_integrity_validation_enabled.configured,token_match_high,0.83,Jaccard=0.83
alicloud_actiontrail_log_monitor_mfa_signin_alert,alicloud.actiontrail.logs.monitor_mfa_signin_alert,token_match_high,0.75,Jaccard=0.75
alicloud_actiontrail_logging_all_regions_enabled,alicloud.actiontrail.logging.all_regions_enabled,token_match_high,1.00,Jaccard=1.00
alicloud_actiontrail_logs_oss_bucket_access_logging_enabled,alicloud.actiontrail.logs.oss_bucket_access_logging_enabled,token_match_high,1.00,Jaccard=1.00
alicloud_actiontrail_logs_s3_bucket_access_logging_enabled,alicloud.actiontrail.logs.s3_bucket_access_logging_enabled,token_match_high,1.00,Jaccard=1.00
alicloud_actiontrail_logs_s3_bucket_is_not_publicly_accessible,alicloud.actiontrail.logs.s3_bucket_is_not_publicly_accessible,token_match_high,1.00,Jaccard=1.00
alicloud_actiontrail_logservice_failed_console_signin_alerts,alicloud.actiontrail.logservice.failed_console_signin_alerts,token_match_high,1.00,Jaccard=1.00
alicloud_actiontrail_multi_region_enabled,alicloud.actiontrail.multi.region_enabled,token_match_high,1.00,Jaccard=1.00
alicloud_actiontrail_multi_region_enabled_logging_management_events,alicloud.actiontrail.multi.region_enabled_logging_management_events,token_match_high,1.00,Jaccard=1.00
alicloud_actiontrail_oss_dataevents_read_enabled,alicloud.actiontrail.oss.dataevents_read_enabled,token_match_high,1.00,Jaccard=1.00
alicloud_actiontrail_oss_dataevents_write_enabled,alicloud.actiontrail.oss.dataevents_write_enabled,token_match_high,1.00,Jaccard=1.00
alicloud_actiontrail_s3_dataevents_read_enabled,alicloud.actiontrail.s3.dataevents_read_enabled,token_match_high,1.00,Jaccard=1.00
alicloud_actiontrail_s3_dataevents_write_enabled,alicloud.actiontrail.s3.dataevents_write_enabled,token_match_high,1.00,Jaccard=1.00
alicloud_actiontrail_threat_detection_enumeration,alicloud.actiontrail.threat.detection_enumeration,token_match_high,1.00,Jaccard=1.00
alicloud_actiontrail_threat_detection_llm_jacking,alicloud.actiontrail.threat_detection.llm_jacking_detected,token_match_high,0.86,Jaccard=0.86
alicloud_actiontrail_threat_detection_privilege_escalation,alicloud.actiontrail.threat.detection_privilege_escalation,token_match_high,1.00,Jaccard=1.00
alicloud_actiontrail_vpc_change_monitoring,alicloud.actiontrail.vpc.change_monitoring,token_match_high,1.00,Jaccard=1.00
alicloud_aisearch_service_not_publicly_accessible,alicloud.elasticsearch.service.not_publicly_accessible,token_match_high,0.67,Jaccard=0.67
alicloud_aks_clusters_created_with_private_nodes,alicloud.ack.cluster.private_nodes_only,ai_verified,high,"The check name specifies AKS clusters with private nodes, which directly matches the service (ACK), resource (cluster), and security requirement (private nodes only)."
alicloud_aks_clusters_public_access_disabled,alicloud.ack.cluster.public_access_blocked,deep_review_high,high,Both the compliance check and the catalog rule specifically target disabling public access for Kubernetes clusters (AKS/ACK).
alicloud_aks_network_policy_enabled,alicloud.ack.network_policy.policy_enabled,token_match_high,0.60,Jaccard=0.60
alicloud_alb_deletion_protection,alicloud.alb.deletion.protection,token_match_high,1.00,Jaccard=1.00
alicloud_alb_insecure_ssl_ciphers,alicloud.alb.insecure.ssl_ciphers,token_match_high,1.00,Jaccard=1.00
alicloud_alb_logging_enabled,alicloud.alb.logging.enabled,token_match_high,1.00,Jaccard=1.00
