rule_id,provider,service,category,severity,title,description,check_type,threat_category,mitre_tactics,mitre_techniques,risk_score,domain,action_category,posture_category,source_file
gcp.accesscontextmanager.activity.delete_service_perimeter,gcp,accesscontextmanager,accesscontextmanager,critical,Access Context Manager: VPC Service Perimeter Deleted,"VPC Service Controls perimeter deleted — entire data exfiltration prevention boundary removed, leaving GCP APIs and data unprotected from exfiltration.",log,defense_evasion,defense_evasion;exfiltration,T1562.001,93,logging_monitoring_and_alerting,modify,security_posture,gcp_rule_ciem/accesscontextmanager/gcp.accesscontextmanager.activity.delete_service_perimeter.yaml
gcp.accesscontextmanager.activity.update_service_perimeter,gcp,accesscontextmanager,accesscontextmanager,high,Access Context Manager: VPC Service Perimeter Updated,"VPC Service Controls perimeter updated — data exfiltration prevention boundary may have been expanded or had services removed, allowing data movement out of the secured perimeter.",log,defense_evasion,defense_evasion;exfiltration,T1562.001,85,logging_monitoring_and_alerting,modify,security_posture,gcp_rule_ciem/accesscontextmanager/gcp.accesscontextmanager.activity.update_service_perimeter.yaml
gcp.artifactregistry.audit.image_deleted,gcp,artifactregistry,artifactregistry,high,Artifact Registry: Container Image Deleted,A container image or package version was deleted from Artifact Registry. Deletion of production images can break deployments.,log,impact,impact,T1485,78,impact,delete,workload_posture,gcp_rule_ciem/artifactregistry/gcp.artifactregistry.audit.image_deleted.yaml
gcp.artifactregistry.audit.repository_made_public,gcp,artifactregistry,artifactregistry,high,Artifact Registry: Repository Made Publicly Readable,"An Artifact Registry repository was made publicly readable. Publicly exposed registries may leak internal container images, including embedded secrets.",log,collection,collection,T1005,78,data_protection_and_privacy,read,data_security_posture,gcp_rule_ciem/artifactregistry/gcp.artifactregistry.audit.repository_made_public.yaml
gcp.artifactregistry.audit.vulnerability_scanning_disabled,gcp,artifactregistry,artifactregistry,medium,Artifact Registry: Vulnerability Scanning Disabled,"Container vulnerability scanning was disabled on an Artifact Registry repository, allowing vulnerable images to be deployed without detection.",log,defense_evasion,defense_evasion,T1562,65,logging_monitoring_and_alerting,modify,security_posture,gcp_rule_ciem/artifactregistry/gcp.artifactregistry.audit.vulnerability_scanning_disabled.yaml
gcp.bigquery.activity.dataset_delete,gcp,bigquery,bigquery,high,BigQuery: Dataset Deleted,BigQuery dataset deleted — potential data destruction impacting analytics and data warehouse workloads.,log,impact,impact,T1485,80,impact,delete,workload_posture,gcp_rule_ciem/bigquery/gcp.bigquery.activity.dataset_delete.yaml
gcp.bigquery.activity.dataset_set_iam_policy,gcp,bigquery,bigquery,high,BigQuery: Dataset IAM Policy Modified,BigQuery dataset access policy changed — may grant allUsers or unexpected principals read access to sensitive data tables.,log,data_exfiltration,exfiltration;privilege_escalation,T1530,75,data_protection_and_privacy,exfiltration,data_security_posture,gcp_rule_ciem/bigquery/gcp.bigquery.activity.dataset_set_iam_policy.yaml
gcp.bigquery.activity.job_insert_extract,gcp,bigquery,bigquery,high,BigQuery: Data Export Job Created,BigQuery extract job submitted — data exported to GCS or external destination; may indicate large-scale data exfiltration.,log,data_exfiltration,collection;exfiltration,T1530,78,data_protection_and_privacy,exfiltration,data_security_posture,gcp_rule_ciem/bigquery/gcp.bigquery.activity.job_insert_extract.yaml
gcp.bigquery.audit.cmek_disabled,gcp,bigquery,bigquery,high,BigQuery: Customer-Managed Encryption Key Removed,"Customer-managed encryption (CMEK) was removed from a BigQuery dataset, reverting to Google-managed keys.",log,defense_evasion,defense_evasion,T1562,72,logging_monitoring_and_alerting,modify,security_posture,gcp_rule_ciem/bigquery/gcp.bigquery.audit.cmek_disabled.yaml
gcp.bigquery.audit.dataset_deleted,gcp,bigquery,bigquery,high,BigQuery: Dataset Deleted,A BigQuery dataset was deleted. Dataset deletion removes all tables and is irreversible without backups.,log,impact,impact,T1485,85,impact,delete,workload_posture,gcp_rule_ciem/bigquery/gcp.bigquery.audit.dataset_deleted.yaml
