check_name,category,matched_rule_ids,confidence,reasoning
ibm_activity_tracker_cloudwatch_logs_enabled,wrong_csp[cloudwatch],,,check contains non-ibm service markers
ibm_activity_tracker_logs_s3_bucket_access_logging_enabled,wrong_csp[s3_bucket],,,check contains non-ibm service markers
ibm_activity_tracker_logs_s3_bucket_is_not_publicly_accessible,wrong_csp[s3_bucket],,,check contains non-ibm service markers
ibm_awslambda_function_inside_vpc,wrong_csp[awslambda],,,check contains non-ibm service markers
ibm_awslambda_function_invoke_api_operations_activity_tracker_logging_enabled,wrong_csp[awslambda],,,check contains non-ibm service markers
ibm_awslambda_function_not_publicly_accessible,wrong_csp[awslambda],,,check contains non-ibm service markers
ibm_awslambda_function_url_cors_policy,wrong_csp[awslambda],,,check contains non-ibm service markers
ibm_awslambda_function_url_public,wrong_csp[awslambda],,,check contains non-ibm service markers
ibm_awslambda_function_vpc_multi_az,wrong_csp[awslambda],,,check contains non-ibm service markers
ibm_cdn_cloudfront_https_required,wrong_csp[cloudfront],,,check contains non-ibm service markers
ibm_cloudfront_distributions_field_level_encryption_enabled,wrong_csp[cloudfront],,,check contains non-ibm service markers
ibm_cloudfront_distributions_https_enabled,wrong_csp[cloudfront],,,check contains non-ibm service markers
ibm_cloudfront_distributions_logging_enabled,wrong_csp[cloudfront],,,check contains non-ibm service markers
ibm_cloudfront_distributions_multiple_origin_failover_configured,wrong_csp[cloudfront],,,check contains non-ibm service markers
ibm_cloudfront_distributions_origin_traffic_encrypted,wrong_csp[cloudfront],,,check contains non-ibm service markers
ibm_cloudtrail_cos_dataevents_read_enabled,wrong_csp[cloudtrail],,,check contains non-ibm service markers
ibm_cloudtrail_cos_dataevents_write_enabled,wrong_csp[cloudtrail],,,check contains non-ibm service markers
ibm_cloudtrail_key_protect_encryption_enabled,wrong_csp[cloudtrail],,,check contains non-ibm service markers
ibm_cloudtrail_logs_cos_bucket_access_logging_enabled,wrong_csp[cloudtrail],,,check contains non-ibm service markers
ibm_cloudtrail_logs_cos_bucket_is_not_publicly_accessible,wrong_csp[cloudtrail],,,check contains non-ibm service markers
ibm_cloudwatch_alarm_cpu_utilization_configured,wrong_csp[cloudwatch],,,check contains non-ibm service markers
ibm_cloudwatch_alarm_memory_utilization_configured,wrong_csp[cloudwatch],,,check contains non-ibm service markers
ibm_cloudwatch_changes_to_network_acls_alarm_configured,wrong_csp[cloudwatch],,,check contains non-ibm service markers
ibm_cloudwatch_changes_to_network_gateways_alarm_configured,wrong_csp[cloudwatch],,,check contains non-ibm service markers
ibm_cloudwatch_changes_to_network_route_tables_alarm_configured,wrong_csp[cloudwatch],,,check contains non-ibm service markers
ibm_cloudwatch_changes_to_vpcs_alarm_configured,wrong_csp[cloudwatch],,,check contains non-ibm service markers
ibm_cloudwatch_log_group_key_protect_encryption_enabled,wrong_csp[cloudwatch],,,check contains non-ibm service markers
ibm_cloudwatch_log_group_kms_encryption_enabled,wrong_csp[cloudwatch],,,check contains non-ibm service markers
ibm_cloudwatch_log_group_retention_policy_specific_days_enabled,wrong_csp[cloudwatch],,,check contains non-ibm service markers
ibm_cloudwatch_log_metric_filter_and_alarm_for_ibm_config_configuration_changes_enabled,wrong_csp[cloudwatch],,,check contains non-ibm service markers
ibm_cloudwatch_log_metric_filter_ibm_organizations_changes,wrong_csp[cloudwatch],,,check contains non-ibm service markers
ibm_cloudwatch_log_metric_filter_policy_changes,wrong_csp[cloudwatch],,,check contains non-ibm service markers
ibm_cos_s3_bucket_encryption_enabled,wrong_csp[s3_bucket],,,check contains non-ibm service markers
ibm_cos_website_https_only,wrong_csp[ebs],,,check contains non-ibm service markers
ibm_database_aurora_backup_enabled,wrong_csp[aurora],,,check contains non-ibm service markers
ibm_database_cluster_integration_cloudwatch_logs,wrong_csp[cloudwatch],,,check contains non-ibm service markers
ibm_database_instance_integration_cloudwatch_logs,wrong_csp[cloudwatch],,,check contains non-ibm service markers
ibm_database_rds_instance_encryption_enabled,wrong_csp[rds],,,check contains non-ibm service markers
ibm_databases_instance_integration_cloudwatch_logs,wrong_csp[cloudwatch],,,check contains non-ibm service markers
ibm_databases_service_domains_cloudwatch_logging_enabled,wrong_csp[cloudwatch],,,check contains non-ibm service markers
ibm_dynamodb_accelerator_cluster_encryption_enabled,wrong_csp[dynamodb],,,check contains non-ibm service markers
ibm_dynamodb_accelerator_cluster_in_transit_encryption_enabled,wrong_csp[dynamodb],,,check contains non-ibm service markers
ibm_dynamodb_accelerator_cluster_multi_az,wrong_csp[dynamodb],,,check contains non-ibm service markers
ibm_dynamodb_autoscaling_enabled,wrong_csp[dynamodb],,,check contains non-ibm service markers
ibm_dynamodb_backup_enabled,wrong_csp[dynamodb],,,check contains non-ibm service markers
ibm_dynamodb_table_protected_by_backup_plan,wrong_csp[dynamodb],,,check contains non-ibm service markers
ibm_dynamodb_tables_key_protect_cmk_encryption_enabled,wrong_csp[dynamodb],,,check contains non-ibm service markers
ibm_dynamodb_tables_kms_cmk_encryption_enabled,wrong_csp[dynamodb],,,check contains non-ibm service markers
ibm_ec2_instance_detailed_monitoring_enabled,wrong_csp[ec2_],,,check contains non-ibm service markers
ibm_eks_cluster_key_protect_cmk_encryption_in_secrets_enabled,wrong_csp[eks],,,check contains non-ibm service markers
ibm_eks_cluster_kms_cmk_encryption_in_secrets_enabled,wrong_csp[eks],,,check contains non-ibm service markers
ibm_elasticache_backup_retention,wrong_csp[elasticache],,,check contains non-ibm service markers
ibm_elasticache_redis_cluster_automatic_failover_enabled,wrong_csp[elasticache],,,check contains non-ibm service markers
ibm_elasticache_redis_cluster_in_transit_encryption_enabled,wrong_csp[elasticache],,,check contains non-ibm service markers
ibm_elasticache_redis_cluster_multi_az_enabled,wrong_csp[elasticache],,,check contains non-ibm service markers
ibm_elasticbeanstalk_environment_cloudwatch_logging_enabled,wrong_csp[cloudwatch],,,check contains non-ibm service markers
ibm_elb_insecure_ssl_ciphers,wrong_csp[elb],,,check contains non-ibm service markers
ibm_elb_internet_facing,wrong_csp[elb],,,check contains non-ibm service markers
ibm_elb_is_in_multiple_az,wrong_csp[elb],,,check contains non-ibm service markers
ibm_elb_ssl_listeners,wrong_csp[elb],,,check contains non-ibm service markers
