rule_id,provider,service,category,severity,title,description,check_type,complexity,threat_category,mitre_tactics,mitre_techniques,risk_score,domain,action_category,posture_category,frameworks,compliance_ids,source_file
alicloud.actiontrail.activity_log.critical_gap,alicloud,actiontrail,activity_log,MEDIUM,Detect critical event gaps in ActionTrail and anomalous RAM privileged actions,Detect critical event gaps in ActionTrail and anomalous RAM privileged actions,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,security_posture,read,security_posture,PCI_DSS,PCI_DSS/10.2.2,alicloud_rule_ciem/actiontrail/alicloud.actiontrail.activity_log.critical_gap.yaml
alicloud.actiontrail.activity_log.review_anomaly,alicloud,actiontrail,activity_log,MEDIUM,Identify anomalies in log review activity and detect unauthorized role assumption chains in ActionTrail and RAM logs.,Identify anomalies in log review activity and detect unauthorized role assumption chains in ActionTrail and RAM logs.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,security_posture,read,security_posture,PCI_DSS,PCI_DSS/10.4.2.1,alicloud_rule_ciem/actiontrail/alicloud.actiontrail.activity_log.review_anomaly.yaml
alicloud.ecs.activity_log.auditd_kill,alicloud,ecs,activity_log,MEDIUM,Detect ECS instance auditd process kill events and OOS executions that modify or stop auditd service,Detect ECS instance auditd process kill events and OOS executions that modify or stop auditd service,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,alicloud_rule_ciem/ecs/alicloud.ecs.activity_log.auditd_kill.yaml
alicloud.ecs.activity_log.modify_time_service,alicloud,ecs,activity_log,MEDIUM,Detect actions that disable or modify time services on ECS instances and disabling or pausing ActionTrail trails that could affect audit timestamp gen,Detect actions that disable or modify time services on ECS instances and disabling or pausing ActionTrail trails that could affect audit timestamp gen,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,55,security_posture,modify,security_posture,NIST_800_171,NIST_800_171/3.3.7,alicloud_rule_ciem/ecs/alicloud.ecs.activity_log.modify_time_service.yaml
alicloud.ecs.audit.create_image,alicloud,ecs,audit,MEDIUM,Monitor ECS custom image creation and OOS template executions that could introduce untested diagnostic programs.,Monitor ECS custom image creation and OOS template executions that could introduce untested diagnostic programs.,log,L6_CIEM_EVENT,persistence,persistence,T1098,55,logging_monitoring_and_alerting,create,security_posture,NIST_800_171,NIST_800_171/3.7.4,alicloud_rule_ciem/ecs/alicloud.ecs.audit.create_image.yaml
alicloud.ecs.audit.enable_nested_virtualization,alicloud,ecs,audit,MEDIUM,Track ECS instance type modifications or explicit actions enabling nested virtualization.,Track ECS instance type modifications or explicit actions enabling nested virtualization.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,alicloud_rule_ciem/ecs/alicloud.ecs.audit.enable_nested_virtualization.yaml
alicloud.ecs.audit.patch_override,alicloud,ecs,audit,MEDIUM,Detect ECS instance patch state tampering or OOS template executions designed to circumvent patching.,Detect ECS instance patch state tampering or OOS template executions designed to circumvent patching.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,alicloud_rule_ciem/ecs/alicloud.ecs.audit.patch_override.yaml
alicloud.ecs.audit.stop_security_agent,alicloud,ecs,audit,MEDIUM,Detect stopping of Security Center agents and chained deletion of ActionTrail logs related to malware alerts.,Detect stopping of Security Center agents and chained deletion of ActionTrail logs related to malware alerts.,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,55,logging_monitoring_and_alerting,delete,security_posture,CIS_ALICLOUD,CIS_ALICLOUD/6.6.2,alicloud_rule_ciem/ecs/alicloud.ecs.audit.stop_security_agent.yaml
alicloud.ecs.audit.uninstall_cloudmonitor,alicloud,ecs,audit,MEDIUM,Detect uninstalling CloudMonitor agent or chaining uninstall with instance stop to evade monitoring,Detect uninstalling CloudMonitor agent or chaining uninstall with instance stop to evade monitoring,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,CANADA_PBMM,CANADA_PBMM/SI-3(2),alicloud_rule_ciem/ecs/alicloud.ecs.audit.uninstall_cloudmonitor.yaml
alicloud.oos.audit.execute_template,alicloud,oos,audit,MEDIUM,Detect ECS instance launches and OOS template executions to enforce software whitelisting/blacklisting policies.,Detect ECS instance launches and OOS template executions to enforce software whitelisting/blacklisting policies.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,logging_monitoring_and_alerting,read,security_posture,NIST_800_171,NIST_800_171/3.4.8,alicloud_rule_ciem/oos/alicloud.oos.audit.execute_template.yaml
alicloud.ram.activity_log.console_login_inactive_user,alicloud,ram,activity_log,MEDIUM,"Detect console login by RAM user inactive >90 days, and chained policy attachment to dormant account","Detect console login by RAM user inactive >90 days, and chained policy attachment to dormant account",log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,identity_and_access_management,read,security_posture,CSPM_BEST_PRACTICE,CSPM_BEST_PRACTICE,alicloud_rule_ciem/ram/alicloud.ram.activity_log.console_login_inactive_user.yaml
alicloud.ram.activity_log.login_attempt_limit,alicloud,ram,activity_log,MEDIUM,Detect when RAM user login failures exceed a defined threshold within a monitoring window.,Detect when RAM user login failures exceed a defined threshold within a monitoring window.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,identity_and_access_management,read,security_posture,NIST_800_171,NIST_800_171/3.1.8,alicloud_rule_ciem/ram/alicloud.ram.activity_log.login_attempt_limit.yaml
alicloud.ram.activity_log.replay_detection,alicloud,ram,activity_log,MEDIUM,Detect replay attempts in RAM audit logs and anomalous chains of authentication actions.,Detect replay attempts in RAM audit logs and anomalous chains of authentication actions.,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,identity_and_access_management,read,security_posture,NIST_800_171,NIST_800_171/3.5.4,alicloud_rule_ciem/ram/alicloud.ram.activity_log.replay_detection.yaml
alicloud.ram.audit.privileged_anomaly,alicloud,ram,audit,MEDIUM,Detect critical event gaps in ActionTrail and anomalous RAM privileged actions,Detect critical event gaps in ActionTrail and anomalous RAM privileged actions,log,L6_CIEM_EVENT,privilege_escalation,privilege_escalation,T1078,55,identity_and_access_management,create,security_posture,PCI_DSS,PCI_DSS/10.2.2,alicloud_rule_ciem/ram/alicloud.ram.audit.privileged_anomaly.yaml
alicloud.ram.audit.user_login_profile_reactivate,alicloud,ram,audit,MEDIUM,Detect RAM user login profile reactivation after review disable and chained RAM policy updates to retain privileges,Detect RAM user login profile reactivation after review disable and chained RAM policy updates to retain privileges,log,L6_CIEM_EVENT,reconnaissance,discovery,T1580,55,identity_and_access_management,read,security_posture,PCI_DSS,PCI_DSS/7.2.4,alicloud_rule_ciem/ram/alicloud.ram.audit.user_login_profile_reactivate.yaml
alicloud.resourcemanager.audit.folder_change,alicloud,resourcemanager,audit,MEDIUM,Track RAM (Resource Access Management) policy changes and resource directory folder modifications to log system changes.,Track RAM (Resource Access Management) policy changes and resource directory folder modifications to log system changes.,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,55,logging_monitoring_and_alerting,modify,security_posture,NIST_800_171,NIST_800_171/3.4.3,alicloud_rule_ciem/resourcemanager/alicloud.resourcemanager.audit.folder_change.yaml
alicloud.sas.activity_log.backup_policy_delete,alicloud,sas,activity_log,HIGH,"Detect deletion of Security Center (SAS) vulnerability backup policies or stopping of ActionTrail audit trails, indicating attempts to disrupt vulnera","Detect deletion of Security Center (SAS) vulnerability backup policies or stopping of ActionTrail audit trails, indicating attempts to disrupt vulnera",log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,75,security_posture,delete,security_posture,PCI_DSS,PCI_DSS/6.3.1,alicloud_rule_ciem/sas/alicloud.sas.activity_log.backup_policy_delete.yaml
alicloud.sas.audit.disable,alicloud,sas,audit,HIGH,Detect disabling of Security Center (SAS) or RAM privilege escalation chains aimed at evading external attack surface detection.,Detect disabling of Security Center (SAS) or RAM privilege escalation chains aimed at evading external attack surface detection.,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,75,logging_monitoring_and_alerting,delete,security_posture,CIS,CIS/8.1.16,alicloud_rule_ciem/sas/alicloud.sas.audit.disable.yaml
alicloud.sas.audit.stop_anti_bot,alicloud,sas,audit,MEDIUM,Detect stopping of Anti-Bot Service or RAM policy deletions that remove malware protection entitlements.,Detect stopping of Anti-Bot Service or RAM policy deletions that remove malware protection entitlements.,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,55,logging_monitoring_and_alerting,delete,security_posture,CANADA_PBMM,CANADA_PBMM/SI-3(1),alicloud_rule_ciem/sas/alicloud.sas.audit.stop_anti_bot.yaml
alicloud.securitycenter.audit.disable_scan,alicloud,securitycenter,audit,HIGH,Identify actions to disable Security Center vulnerability scanning and modifications to ECS security groups that restrict scanner IPs.,Identify actions to disable Security Center vulnerability scanning and modifications to ECS security groups that restrict scanner IPs.,log,L6_CIEM_EVENT,defense_evasion,defense_evasion,T1562,75,logging_monitoring_and_alerting,delete,security_posture,CANADA_PBMM,CANADA_PBMM/RA-5(2),alicloud_rule_ciem/securitycenter/alicloud.securitycenter.audit.disable_scan.yaml
alicloud.slb.chain.listener_attribute_modify,alicloud,slb,chain,HIGH,Detect security group rule updates allowing non-SSL traffic and chained modifications to SLB listener attributes that could remove HTTPS/SSL certifica,Detect security group rule updates allowing non-SSL traffic and chained modifications to SLB listener attributes that could remove HTTPS/SSL certifica,log_correlation,L7_CIEM_CHAIN,defense_evasion,defense_evasion,T1562,75,security_posture,modify,security_posture,CIS_ALICLOUD,CIS_ALICLOUD/6.3.5,alicloud_rule_ciem/slb/alicloud.slb.chain.listener_attribute_modify.yaml
alicloud.voicenavigator.audit.create_instance,alicloud,voicenavigator,audit,MEDIUM,Monitor security group modifications for SIP/RTP ports and Voice Navigator instance creation,Monitor security group modifications for SIP/RTP ports and Voice Navigator instance creation,log,L6_CIEM_EVENT,persistence,persistence,T1098,55,logging_monitoring_and_alerting,create,security_posture,NIST_800_171,NIST_800_171/3.13.14,alicloud_rule_ciem/voicenavigator/alicloud.voicenavigator.audit.create_instance.yaml
